iter	Logloss
0	0.6036747244
1	0.5363938905
2	0.4811262229
3	0.436826503
4	0.4005806307
5	0.3721410075
6	0.349366904
7	0.3310614338
8	0.3130776663
9	0.2992763201
10	0.2897358039
11	0.2805606334
12	0.2710234266
13	0.2630681796
14	0.2561376303
15	0.2508456499
16	0.2470967467
17	0.243108975
18	0.2402703947
19	0.2374653207
20	0.2349457583
21	0.2334084608
22	0.2313073471
23	0.2294759448
24	0.2269542176
25	0.2248776194
26	0.2232132658
27	0.2218454077
28	0.2200001826
29	0.2180451009
30	0.216889371
31	0.2157956605
32	0.2146140424
33	0.2138998628
34	0.2125197252
35	0.2117764513
36	0.2111937228
37	0.2100229204
38	0.2089936882
39	0.2078282222
40	0.207215617
41	0.2059715087
42	0.2054055881
43	0.2042150956
44	0.203493151
45	0.203064421
46	0.2018947546
47	0.2013886092
48	0.2007834116
49	0.2001374268
50	0.1996281521
51	0.1989272054
52	0.1984892497
53	0.1980728526
54	0.1972151758
55	0.1961204273
56	0.1954795646
57	0.1948366953
58	0.1944965477
59	0.1937420652
60	0.1932633975
61	0.1927144985
62	0.1920902789
63	0.19164335
64	0.1914806452
65	0.1909709119
66	0.1906271406
67	0.1902888426
68	0.1897231754
69	0.1893071466
70	0.1885728389
71	0.1879379675
72	0.1875897058
73	0.1873323635
74	0.1868337187
75	0.1864493161
76	0.1859824261
77	0.1855633015
78	0.185071645
79	0.1846172415
80	0.1843482485
81	0.1838576801
82	0.1836432167
83	0.1831526467
84	0.1825984889
85	0.1822173495
86	0.1818818753
87	0.1814422885
88	0.1807946655
89	0.1802165374
90	0.1800899074
91	0.179726131
92	0.1792392003
93	0.1788423941
94	0.1783384664
95	0.177926031
96	0.1774693115
97	0.1769243283
98	0.1766023379
99	0.1762339859
100	0.175751675
101	0.1753028206
102	0.1749859906
103	0.1746511567
104	0.174322718
105	0.1739072009
106	0.1734216239
107	0.1727992593
108	0.1723721654
109	0.1716449293
110	0.1712485355
111	0.170807744
112	0.1705145417
113	0.1702744287
114	0.1697701007
115	0.1693501229
116	0.1687203478
117	0.1683695284
118	0.168026493
119	0.1675072181
120	0.1669432666
121	0.16653221
122	0.1660852344
123	0.1656484043
