iter	Passed	Remaining
0	1	377
1	2	352
2	3	339
3	4	333
4	5	329
5	6	325
6	7	320
7	8	316
8	9	319
9	11	320
10	12	317
11	13	315
12	14	314
13	15	312
14	16	311
15	17	309
16	18	308
17	19	306
18	20	304
19	21	303
20	22	301
21	23	300
22	24	298
23	25	297
24	26	296
25	27	294
26	29	293
27	30	294
28	31	294
29	32	293
30	33	291
31	34	290
32	35	288
33	36	288
34	37	286
35	38	285
36	39	284
37	41	282
38	42	281
39	43	280
40	44	279
41	45	279
42	46	278
43	47	277
44	48	277
45	50	276
46	51	274
47	52	273
48	53	272
49	54	271
50	55	270
51	56	269
52	57	268
53	58	266
54	59	265
55	60	264
56	61	263
57	63	264
58	64	264
59	65	262
60	66	261
61	67	260
62	68	259
63	69	257
64	70	256
65	72	255
66	73	254
67	74	252
68	75	254
69	76	252
70	78	251
71	79	252
72	80	251
73	82	251
74	83	249
75	84	248
76	85	247
77	86	246
78	87	244
79	88	243
80	89	242
81	90	241
82	91	240
83	92	239
84	94	237
85	95	236
86	96	235
87	97	235
88	99	234
89	100	233
90	101	232
91	102	231
92	103	230
93	104	228
94	105	227
95	106	226
96	107	225
97	108	224
98	109	222
99	110	221
100	112	221
101	113	219
102	114	219
103	115	218
104	117	217
105	118	216
106	119	215
107	120	214
108	121	212
109	122	211
110	123	210
111	124	209
112	125	208
113	126	206
114	127	205
115	129	204
116	130	203
117	131	202
118	132	201
119	133	200
120	134	199
121	135	198
122	136	197
123	138	196
