task,target_index,metric,valid,test
toxcast,0,auc,0.5768092105263158,0.5005387931034483
toxcast,1,auc,0.6520793036750484,0.5065616797900262
toxcast,2,auc,0.4597585513078471,0.4738095238095238
toxcast,3,auc,0.8516260162601627,0.5765582655826558
toxcast,4,auc,0.5462519936204147,0.5001578282828283
toxcast,5,auc,0.5212121212121212,0.5353316326530613
toxcast,6,auc,0.42642140468227424,0.6196303696303697
toxcast,7,auc,0.4990842490842491,0.4672131147540984
toxcast,8,auc,0.6226666666666667,0.5431400282885431
toxcast,9,auc,0.4180194805194805,0.5237127371273713
toxcast,10,auc,0.528672032193159,0.6478846153846154
toxcast,11,auc,0.5857142857142857,0.6246411483253589
toxcast,12,auc,0.8511904761904762,0.3790322580645161
toxcast,13,auc,0.6498771498771498,0.5404411764705882
toxcast,14,auc,0.5123456790123457,0.4853988603988604
toxcast,15,auc,0.825,0.6360544217687075
toxcast,16,auc,0.5929027113237639,0.5882731958762887
toxcast,17,auc,0.5085995085995086,0.49122807017543857
toxcast,18,auc,0.6309523809523809,0.6204896907216495
toxcast,19,auc,0.5648484848484848,0.5784810126582278
toxcast,20,auc,0.6466049382716049,0.7330623306233063
toxcast,21,auc,0.5692771084337349,0.31910569105691056
toxcast,22,auc,0.8132530120481928,0.16338582677165353
toxcast,23,auc,0.5396213183730715,0.5928030303030303
toxcast,24,auc,0.590612777053455,0.6007936507936508
toxcast,25,auc,0.8863636363636364,0.4574468085106383
toxcast,26,auc,0.60125,0.5312018489984591
toxcast,27,auc,0.6159188034188035,0.6244019138755981
toxcast,28,auc,0.599502487562189,0.6465700141442716
toxcast,29,auc,0.5715384615384616,0.6519756838905775
toxcast,30,auc,0.5666666666666667,0.717687074829932
toxcast,31,auc,0.6296296296296297,0.5487179487179488
toxcast,32,auc,0.65625,0.5645933014354066
toxcast,33,auc,0.7052631578947368,0.6487179487179487
toxcast,34,auc,0.6035714285714285,0.5777511961722488
toxcast,35,auc,0.8,0.6578947368421053
toxcast,36,auc,0.6185185185185185,0.34346846846846846
toxcast,37,auc,0.75,0.5813397129186603
toxcast,38,auc,0.58203125,0.39305555555555555
toxcast,39,auc,0.6640625,0.5698198198198198
toxcast,40,auc,0.5555555555555556,0.6194444444444445
toxcast,41,auc,0.8181818181818182,0.7364341085271318
toxcast,42,auc,0.7157894736842105,0.5348837209302325
toxcast,43,auc,0.8636363636363636,0.572463768115942
toxcast,44,auc,0.5625,0.3
toxcast,45,auc,0.6615646258503401,0.6585181451612904
toxcast,46,auc,0.5245614035087719,0.5224914750054415
toxcast,47,auc,0.6625634517766498,0.63705915282702
toxcast,48,auc,0.5188679245283019,0.3188976377952756
toxcast,49,auc,0.426056338028169,0.5246062992125984
toxcast,50,auc,0.8403426791277259,0.6310756972111554
toxcast,51,auc,0.6140648567119156,0.5035919540229885
toxcast,52,auc,0.7241118669690099,0.7046601941747572
toxcast,53,auc,0.5496411483253588,0.5220006331117443
toxcast,54,auc,0.6432535553243149,0.5666049545975491
toxcast,55,auc,0.7441239316239316,0.6704653371320038
toxcast,56,auc,0.3873239436619718,0.6318725099601593
toxcast,57,auc,0.5455665024630542,0.6454918032786885
toxcast,58,auc,0.5898804983473176,0.5631377551020408
toxcast,59,auc,0.4339622641509434,0.7503293807641633
toxcast,60,auc,0.6917273673257024,0.5729156984849894
toxcast,61,auc,0.6190821256038648,0.3263333333333333
toxcast,62,auc,0.6787564766839378,0.5851325145442793
toxcast,63,auc,0.47942329227323627,0.5575699063148108
toxcast,64,auc,0.7346938775510204,0.42311507936507936
toxcast,65,auc,0.5051155115511551,0.23922764227642276
toxcast,66,auc,0.644120707596254,0.6201339072214251
toxcast,67,auc,0.5756097560975609,0.6416833222296247
