task,benchmark,kind,metric,test_value,lit_min,lit_max,within_range,normalized_score,gap_to_best_lit
bbbp,BBBP,classification,auc,0.5913387345679012,0.643,0.729,False,-0.6007123887453353,0.13766126543209878
bace,BACE,classification,auc,0.7681272822117893,0.779,0.857,False,-0.1393938177975738,0.08887271778821071
clintox,ClinTox,classification,auc,0.655841848260522,0.726,0.919,False,-0.36351373958278704,0.263158151739478
tox21,Tox21,classification,auc,0.6902213476558171,0.735,0.796,False,-0.7340762679374236,0.10577865234418293
toxcast,ToxCast,classification,auc,0.577306055062129,0.631,0.696,False,-0.826060691351863,0.118693944937871
sider,SIDER,classification,auc,0.6108696727062433,0.57,0.672,True,0.4006830657474831,0.06113032729375678
hiv,HIV,classification,auc,0.6572172116108848,0.625,0.808,True,0.17605033667150136,0.1507827883891153
muv,MUV,classification,auc,0.6384467967828792,0.673,0.821,False,-0.23346758930487077,0.18255320321712076
esol,ESOL,regression,rmse,1.7559824392133387,0.79,1.27,False,-1.0124634150277891,0.9659824392133387
freesolv,FreeSolv,regression,rmse,3.6341421945773473,1.48,5.06,True,0.39828430319068503,2.1541421945773473
lipo,Lipo,regression,rmse,1.0866727910568919,0.603,2.072,True,0.6707469087427558,0.48367279105689187
qm7dft,QM7,regression,mae,118.51518976614416,41.8,113.2,False,-0.074442433699498,76.71518976614416
qm8dft,QM8,regression,mae,0.026656725917438024,0.0156,0.0236,False,-0.38209073967975304,0.011056725917438025
qm9dft,QM9,regression,mae,0.01819985813679695,0.00467,0.01037,False,-1.3736593222450788,0.013529858136796951
