task,target_index,metric,valid,test
bbbp,0,auc,0.9050084636064921,0.5838638117283951
bace,0,auc,0.6534798534798535,0.7885585115632064
clintox,0,auc,0.6741258741258741,0.6534772182254197
clintox,1,auc,0.8063380281690141,0.6641304347826087
tox21,0,auc,0.7572772055530677,0.740352658788774
tox21,1,auc,0.7863455149501661,0.8067419158023185
tox21,2,auc,0.7512219894623247,0.7840035481963336
tox21,3,auc,0.7284926300176138,0.6886314969826747
tox21,4,auc,0.6735629034222385,0.6224293676724967
tox21,5,auc,0.6965981012658228,0.5542783719961105
tox21,6,auc,0.7556776556776557,0.7485795454545454
tox21,7,auc,0.6820353063343717,0.6419431507178183
tox21,8,auc,0.6382277028964726,0.5964091068917018
tox21,9,auc,0.7082604895104895,0.6011432863222899
tox21,10,auc,0.7463080513927971,0.7138151352426412
tox21,11,auc,0.6988037166085946,0.6931150077359464
toxcast,0,auc,0.5601973684210526,0.524066091954023
toxcast,1,auc,0.7217117988394585,0.5730533683289589
toxcast,2,auc,0.5518108651911469,0.48948412698412697
toxcast,3,auc,0.7317073170731707,0.6226287262872628
toxcast,4,auc,0.5905103668261563,0.5615530303030303
toxcast,5,auc,0.5448484848484848,0.549234693877551
toxcast,6,auc,0.5239687848383501,0.6121378621378621
toxcast,7,auc,0.6904761904761905,0.49473067915690866
toxcast,8,auc,0.5786666666666667,0.4957567185289958
toxcast,9,auc,0.5795454545454546,0.34688346883468835
toxcast,10,auc,0.5814889336016097,0.5646153846153846
toxcast,11,auc,0.5904761904761905,0.5239234449760766
toxcast,12,auc,0.7261904761904762,0.4080645161290323
toxcast,13,auc,0.7143734643734644,0.4952731092436975
toxcast,14,auc,0.6280864197530864,0.5562678062678063
toxcast,15,auc,0.6125,0.5
toxcast,16,auc,0.6889952153110048,0.5934278350515464
toxcast,17,auc,0.5282555282555282,0.5444444444444444
toxcast,18,auc,0.7224702380952381,0.6185567010309279
toxcast,19,auc,0.616969696969697,0.6577215189873418
toxcast,20,auc,0.8333333333333334,0.6219512195121951
toxcast,21,auc,0.608433734939759,0.3997289972899729
toxcast,22,auc,0.8795180722891566,0.46062992125984253
toxcast,23,auc,0.5918653576437588,0.6309974747474747
toxcast,24,auc,0.6186440677966102,0.5644179894179894
toxcast,25,auc,0.9545454545454546,0.7127659574468085
toxcast,26,auc,0.765,0.4672573189522342
toxcast,27,auc,0.7414529914529915,0.6157894736842106
toxcast,28,auc,0.6915422885572139,0.6021923620933521
toxcast,29,auc,0.6846153846153846,0.563677811550152
toxcast,30,auc,0.8222222222222222,0.4965986394557823
toxcast,31,auc,0.5925925925925926,0.6051282051282051
toxcast,32,auc,0.8125,0.4904306220095694
toxcast,33,auc,0.6842105263157895,0.5564102564102564
toxcast,34,auc,0.8071428571428572,0.5909090909090909
toxcast,35,auc,0.7851851851851852,0.5765550239234449
toxcast,36,auc,0.6370370370370371,0.5337837837837838
toxcast,37,auc,0.7714285714285715,0.6172248803827751
toxcast,38,auc,0.5859375,0.4444444444444444
toxcast,39,auc,0.7578125,0.42004504504504503
toxcast,40,auc,0.7301587301587301,0.425
toxcast,41,auc,0.8181818181818182,0.4418604651162791
toxcast,42,auc,0.8842105263157894,0.4728682170542636
toxcast,43,auc,0.6363636363636364,0.34057971014492755
toxcast,44,auc,0.625,0.43333333333333335
toxcast,45,auc,0.6680272108843538,0.5690524193548387
toxcast,46,auc,0.6063048245614036,0.5614887905390699
toxcast,47,auc,0.6954314720812182,0.5833177831685016
toxcast,48,auc,0.7603773584905661,0.4330708661417323
toxcast,49,auc,0.710093896713615,0.16830708661417323
toxcast,50,auc,0.9618380062305296,0.5438247011952191
toxcast,51,auc,0.6591251885369532,0.5513649425287356
toxcast,52,auc,0.71645880574452,0.6919417475728156
toxcast,53,auc,0.5433612440191388,0.43779677113010446
toxcast,54,auc,0.592698577870274,0.6658732257780129
toxcast,55,auc,0.6696047008547008,0.6783792339347895
toxcast,56,auc,0.49178403755868544,0.30597609561752986
toxcast,57,auc,0.7691766361717101,0.5208333333333334
toxcast,58,auc,0.617022629036359,0.6335034013605442
toxcast,59,auc,0.4716981132075472,0.6976284584980237
toxcast,60,auc,0.676292056885189,0.6178083465006041
toxcast,61,auc,0.6159420289855072,0.309
toxcast,62,auc,0.6146373056994818,0.5821590174531351
toxcast,63,auc,0.5558510638297872,0.6046628048344418
toxcast,64,auc,0.7323129251700681,0.5396825396825397
toxcast,65,auc,0.5742574257425742,0.41077235772357723
toxcast,66,auc,0.6766389177939646,0.6589191774270684
toxcast,67,auc,0.5516260162601626,0.6884299355984899
toxcast,68,auc,0.7898894154818326,0.720734126984127
toxcast,69,auc,0.6857993197278912,0.5798158379373849
toxcast,70,auc,0.6627793974732751,0.5933839822728711
toxcast,71,auc,0.6214487096074605,0.5763888888888888
toxcast,72,auc,0.6373239436619719,0.5792828685258964
toxcast,73,auc,0.814622641509434,0.5748031496062992
toxcast,74,auc,nan,0.25098039215686274
toxcast,75,auc,0.692991239048811,0.6239710538218001
toxcast,76,auc,0.644901144640999,0.5178571428571429
toxcast,77,auc,0.6346153846153846,0.698780487804878
toxcast,78,auc,0.6577618288144604,0.5374581939799331
toxcast,79,auc,0.7990654205607477,0.6549019607843137
toxcast,80,auc,0.6193236714975845,0.7083665338645418
toxcast,81,auc,0.5952830188679246,0.37666666666666665
toxcast,82,auc,0.6311216429699842,0.543886612021858
toxcast,83,auc,0.5034653465346535,0.46148459383753504
toxcast,84,auc,0.5216981132075472,0.3843137254901961
toxcast,85,auc,0.7410239361702128,0.5814070351758794
toxcast,86,auc,0.558695652173913,0.4137291280148423
toxcast,87,auc,0.5489731437598736,0.6023622047244095
toxcast,88,auc,0.6449530516431925,0.31554677206851117
toxcast,89,auc,0.6665111940298507,0.44988344988344986
toxcast,90,auc,0.6320132013201321,0.5973958333333333
toxcast,91,auc,0.523696682464455,0.5920826161790017
toxcast,92,auc,0.6604651162790698,0.4930555555555556
toxcast,93,auc,0.6943127962085308,0.6146673387096774
toxcast,94,auc,0.7561576354679803,0.5498400196898843
toxcast,95,auc,0.6767660910518053,0.5458616010854817
toxcast,96,auc,0.4524647887323944,0.7203187250996016
toxcast,97,auc,0.7244186046511628,0.5451388888888888
toxcast,98,auc,0.6849073256840247,0.5388104838709677
toxcast,99,auc,0.7640845070422535,0.48616600790513836
toxcast,100,auc,0.858609794628752,0.6280487804878049
toxcast,101,auc,0.6641141141141141,0.5403486394557823
toxcast,102,auc,0.6143393393393394,0.568939393939394
toxcast,103,auc,0.839563862928349,0.49128014842300555
toxcast,104,auc,0.6118298368298368,0.5644557823129251
toxcast,105,auc,0.6372641509433963,nan
toxcast,106,auc,0.6858490566037736,0.5584677419354839
toxcast,107,auc,0.5768707482993197,0.5416666666666666
toxcast,108,auc,0.40813953488372096,0.2627450980392157
toxcast,109,auc,0.6173708920187794,0.644808743169399
toxcast,110,auc,0.637246963562753,0.6262535931012456
toxcast,111,auc,0.6136792452830189,0.6666666666666666
toxcast,112,auc,0.6231303418803419,0.5128205128205128
toxcast,113,auc,0.5514354066985646,0.41985887096774194
toxcast,114,auc,0.9490740740740741,0.11960784313725491
toxcast,115,auc,0.6414473684210527,0.40974967061923584
toxcast,116,auc,0.6362559241706162,0.6382470119521912
toxcast,117,auc,0.6602112676056338,0.6103585657370518
