task,task_type,metric,feature_mode,n_targets,n_train,n_valid,n_test,n_feature_failures,n_anchors,valid,test,elapsed_sec
bbbp,classification,auc,tanimoto,1,1631,204,204,0,96,0.9050084636064921,0.5838638117283951,0.904
bace,classification,auc,tanimoto,1,1210,151,152,0,96,0.6534798534798535,0.7885585115632064,0.846
clintox,classification,auc,tanimoto,2,1182,148,148,0,96,0.7402319511474441,0.6588038265040141,0.897
tox21,classification,auc,tanimoto,12,6264,783,784,0,96,0.7185676055909678,0.6826202159836376,6.605
toxcast,classification,auc,tanimoto,617,6860,858,858,0,96,0.6827536206381769,0.5751754429524869,137.897
sider,classification,auc,tanimoto,27,1141,143,143,0,96,0.6488471466165165,0.6347487835209032,6.682
hiv,classification,auc,tanimoto,1,32901,4113,4113,0,96,0.6383469282774838,0.6856370343189324,22.471
muv,classification,auc,tanimoto,17,74469,9309,9309,0,96,0.8070450318735715,0.673829992970954,51.126
esol,regression,rmse,tanimoto,1,902,113,113,0,96,1.8510008728571723,1.809640201485096,0.535
freesolv,regression,rmse,tanimoto,1,513,64,65,0,96,5.475047671596418,3.3897592006518886,0.228
lipo,regression,rmse,tanimoto,1,3360,420,420,0,96,1.1511161858011356,1.0617158818592862,2.221
qm7dft,regression,mae,tanimoto,1,5464,685,681,0,96,123.05398220203166,118.29016407755798,0.997
qm8dft,regression,mae,tanimoto,12,17428,2179,2179,0,96,0.024232954160157905,0.02596518986693876,7.212
qm9dft,regression,mae,tanimoto,3,107108,13388,13389,0,96,0.01530267539984373,0.01713830905114523,26.396
