config_id,task,benchmark,kind,metric,test_value,lit_min,lit_max,within_range,normalized_score,gap_to_best_lit
c1,bbbp,BBBP,classification,auc,0.5913387345679012,0.643,0.729,False,-0.6007123887453353,0.13766126543209878
c1,bace,BACE,classification,auc,0.7681272822117893,0.779,0.857,False,-0.1393938177975738,0.08887271778821071
c1,clintox,ClinTox,classification,auc,0.655841848260522,0.726,0.919,False,-0.36351373958278704,0.263158151739478
c1,tox21,Tox21,classification,auc,0.6902213476558171,0.735,0.796,False,-0.7340762679374236,0.10577865234418293
c1,toxcast,ToxCast,classification,auc,0.577306055062129,0.631,0.696,False,-0.826060691351863,0.118693944937871
c1,sider,SIDER,classification,auc,0.6108696727062433,0.57,0.672,True,0.4006830657474831,0.06113032729375678
c1,hiv,HIV,classification,auc,0.6572172116108848,0.625,0.808,True,0.17605033667150136,0.1507827883891153
c1,muv,MUV,classification,auc,0.6384467967828792,0.673,0.821,False,-0.23346758930487077,0.18255320321712076
c1,esol,ESOL,regression,rmse,1.7559824392133387,0.79,1.27,False,-1.0124634150277891,0.9659824392133387
c1,freesolv,FreeSolv,regression,rmse,3.6341421945773473,1.48,5.06,True,0.39828430319068503,2.1541421945773473
c1,lipo,Lipo,regression,rmse,1.0866727910568919,0.603,2.072,True,0.6707469087427558,0.48367279105689187
c1,qm7dft,QM7,regression,mae,118.51518976614416,41.8,113.2,False,-0.074442433699498,76.71518976614416
c1,qm8dft,QM8,regression,mae,0.026656725917438024,0.0156,0.0236,False,-0.38209073967975304,0.011056725917438025
c1,qm9dft,QM9,regression,mae,0.01819985813679695,0.00467,0.01037,False,-1.3736593222450788,0.013529858136796951
c2,bbbp,BBBP,classification,auc,0.5789930555555556,0.643,0.729,False,-0.7442667958656333,0.1500069444444444
c2,bace,BACE,classification,auc,0.8118588071639715,0.779,0.857,True,0.42126675851245526,0.045141192836028465
c2,clintox,ClinTox,classification,auc,0.591124491710979,0.726,0.919,False,-0.6988368305130617,0.327875508289021
c2,tox21,Tox21,classification,auc,0.6905345241220587,0.735,0.796,False,-0.728942227507233,0.1054654758779413
c2,toxcast,ToxCast,classification,auc,0.5804192012972481,0.631,0.696,False,-0.7781661338884913,0.11558079870275184
c2,sider,SIDER,classification,auc,0.6431246315807686,0.57,0.672,True,0.7169081527526332,0.02887536841923144
c2,hiv,HIV,classification,auc,0.7332779698333302,0.625,0.808,True,0.591682895264099,0.0747220301666699
c2,muv,MUV,classification,auc,0.6321555850269525,0.673,0.821,False,-0.27597577684491625,0.1888444149730475
c2,esol,ESOL,regression,rmse,1.7204798793922986,0.79,1.27,False,-0.9384997487339555,0.9304798793922986
c2,freesolv,FreeSolv,regression,rmse,3.2496747151412295,1.48,5.06,True,0.5056774538711649,1.7696747151412295
c2,lipo,Lipo,regression,rmse,1.0427178895959233,0.603,2.072,True,0.7006685571164579,0.4397178895959233
c2,qm7dft,QM7,regression,mae,116.68896494178477,41.8,113.2,False,-0.04886505520706964,74.88896494178478
c2,qm8dft,QM8,regression,mae,0.025093646788714827,0.0156,0.0236,False,-0.1867058485893534,0.009493646788714828
c2,qm9dft,QM9,regression,mae,0.015942807038835573,0.00467,0.01037,False,-0.9776854454097494,0.011272807038835573
c3,bbbp,BBBP,classification,auc,0.5838638117283951,0.643,0.729,False,-0.6876300961814531,0.1451361882716049
c3,bace,BACE,classification,auc,0.7885585115632064,0.779,0.857,True,0.12254502004110798,0.06844148843679354
c3,clintox,ClinTox,classification,auc,0.6588038265040141,0.726,0.919,False,-0.34816670205173994,0.2601961734959859
c3,tox21,Tox21,classification,auc,0.6826202159836376,0.735,0.796,False,-0.8586849838747918,0.1133797840163624
c3,toxcast,ToxCast,classification,auc,0.5751754429524869,0.631,0.696,False,-0.85883933919251,0.12082455704751305
c3,sider,SIDER,classification,auc,0.6347487835209032,0.57,0.672,True,0.6347919953029729,0.037251216479096794
c3,hiv,HIV,classification,auc,0.6856370343189324,0.625,0.808,True,0.331349914311106,0.12236296568106764
c3,muv,MUV,classification,auc,0.673829992970954,0.673,0.821,True,0.00560806061455396,0.14717000702904592
c3,esol,ESOL,regression,rmse,1.809640201485096,0.79,1.27,False,-1.124250419760617,1.019640201485096
c3,freesolv,FreeSolv,regression,rmse,3.3897592006518886,1.48,5.06,True,0.46654770931511486,1.9097592006518886
c3,lipo,Lipo,regression,rmse,1.0617158818592862,0.603,2.072,True,0.687735955167266,0.45871588185928625
c3,qm7dft,QM7,regression,mae,118.29016407755798,41.8,113.2,False,-0.07129081341117607,76.49016407755798
c3,qm8dft,QM8,regression,mae,0.02596518986693876,0.0156,0.0236,False,-0.29564873336734504,0.01036518986693876
c3,qm9dft,QM9,regression,mae,0.01713830905114523,0.00467,0.01037,False,-1.1874226405517947,0.01246830905114523
