task,task_type,metric,fingerprint,radius,fp_bits,use_chirality,n_targets,n_train,n_valid,n_test,n_feature_failures,valid,test,elapsed_sec,config_id,seed
esol,regression,rmse,ECFP4_1024,2,1024,False,1,902,113,113,0,1.5839002571092549,1.599558597323998,0.93,c06,42
freesolv,regression,rmse,ECFP4_1024,2,1024,False,1,513,64,65,0,5.454835033163056,4.124947750173184,0.863,c06,42
lipo,regression,rmse,ECFP4_1024,2,1024,False,1,3360,420,420,0,0.9416706309026343,0.8946989122177976,9.804,c06,42
qm7dft,regression,mae,ECFP4_1024,2,1024,False,1,5464,685,681,0,124.27653362469273,138.23883192908193,0.957,c06,42
qm8dft,regression,mae,ECFP4_1024,2,1024,False,12,17428,2179,2179,0,0.023053896605665727,0.02422818350525173,54.845,c06,42
qm9dft,regression,mae,ECFP4_1024,2,1024,False,3,107108,13388,13389,0,0.012507900502842109,0.014158969993351998,117.611,c06,42
esol,regression,rmse,ECFP4_1024,2,1024,False,1,902,113,113,0,1.6335712423146203,1.6192991220297221,0.645,c06,43
freesolv,regression,rmse,ECFP4_1024,2,1024,False,1,513,64,65,0,5.489202661981361,4.172234512195626,0.821,c06,43
lipo,regression,rmse,ECFP4_1024,2,1024,False,1,3360,420,420,0,0.9288039631312538,0.8972894363913434,9.347,c06,43
qm7dft,regression,mae,ECFP4_1024,2,1024,False,1,5464,685,681,0,125.36959580218411,144.54789792712134,1.143,c06,43
qm8dft,regression,mae,ECFP4_1024,2,1024,False,12,17428,2179,2179,0,0.023029362849498303,0.02417417794094143,51.396,c06,43
qm9dft,regression,mae,ECFP4_1024,2,1024,False,3,107108,13388,13389,0,0.012492249980589934,0.014140854822110681,111.64,c06,43
esol,regression,rmse,ECFP4_1024,2,1024,False,1,902,113,113,0,1.6432760820191716,1.6089245340547904,0.893,c06,44
freesolv,regression,rmse,ECFP4_1024,2,1024,False,1,513,64,65,0,5.478568323730938,4.116770049129437,0.779,c06,44
lipo,regression,rmse,ECFP4_1024,2,1024,False,1,3360,420,420,0,0.9389051376401909,0.8911421813279303,9.226,c06,44
qm7dft,regression,mae,ECFP4_1024,2,1024,False,1,5464,685,681,0,124.17116952377431,137.0712911951124,0.894,c06,44
qm8dft,regression,mae,ECFP4_1024,2,1024,False,12,17428,2179,2179,0,0.02300123498646894,0.02420212609260673,50.629,c06,44
qm9dft,regression,mae,ECFP4_1024,2,1024,False,3,107108,13388,13389,0,0.012535443265188767,0.014197226386235606,114.509,c06,44
esol,regression,rmse,ECFP4_1024,2,1024,False,1,902,113,113,0,1.6006736298055433,1.5963614160774449,0.775,c06,45
freesolv,regression,rmse,ECFP4_1024,2,1024,False,1,513,64,65,0,5.4629196011633345,4.107528037824706,0.775,c06,45
lipo,regression,rmse,ECFP4_1024,2,1024,False,1,3360,420,420,0,0.9364998345108551,0.8960701077577357,9.311,c06,45
qm7dft,regression,mae,ECFP4_1024,2,1024,False,1,5464,685,681,0,123.48929824799855,141.7220410349789,1.025,c06,45
qm8dft,regression,mae,ECFP4_1024,2,1024,False,12,17428,2179,2179,0,0.023002901116154235,0.02416261165464523,50.56,c06,45
qm9dft,regression,mae,ECFP4_1024,2,1024,False,3,107108,13388,13389,0,0.012529687614300294,0.014168918074643289,112.158,c06,45
esol,regression,rmse,ECFP4_1024,2,1024,False,1,902,113,113,0,1.6440438140211804,1.6182863458603218,0.843,c06,46
freesolv,regression,rmse,ECFP4_1024,2,1024,False,1,513,64,65,0,5.557011936337908,4.131149753619511,0.781,c06,46
lipo,regression,rmse,ECFP4_1024,2,1024,False,1,3360,420,420,0,0.9345801814426428,0.8942834002781469,9.277,c06,46
qm7dft,regression,mae,ECFP4_1024,2,1024,False,1,5464,685,681,0,124.75795576202988,139.872908392705,1.063,c06,46
qm8dft,regression,mae,ECFP4_1024,2,1024,False,12,17428,2179,2179,0,0.023000104162058055,0.02413818838667457,50.629,c06,46
qm9dft,regression,mae,ECFP4_1024,2,1024,False,3,107108,13388,13389,0,0.012531806383853148,0.014189071817984414,110.807,c06,46
