task,target_index,metric,valid,test,config_id,seed
esol,0,rmse,1.6335712423146203,1.6192991220297221,c06,43
freesolv,0,rmse,5.489202661981361,4.172234512195626,c06,43
lipo,0,rmse,0.9288039631312538,0.8972894363913434,c06,43
qm7dft,0,mae,125.36959580218411,144.54789792712134,c06,43
qm8dft,0,mae,0.017712572690601964,0.01617851551904028,c06,43
qm8dft,1,mae,0.015222008864994713,0.014888600980875381,c06,43
qm8dft,2,mae,0.021420513620110312,0.024739856256593362,c06,43
qm8dft,3,mae,0.04675157063156706,0.04453160762824149,c06,43
qm8dft,4,mae,0.018304158879269297,0.016575866237901932,c06,43
qm8dft,5,mae,0.016209740781974617,0.01573735868522024,c06,43
qm8dft,6,mae,0.015935873906136096,0.022303906394957416,c06,43
qm8dft,7,mae,0.034750550475906854,0.037462627424574985,c06,43
qm8dft,8,mae,0.01725450113903076,0.015636872986575283,c06,43
qm8dft,9,mae,0.014618228482350776,0.014323609369100602,c06,43
qm8dft,10,mae,0.02044564224973413,0.026562213146193447,c06,43
qm8dft,11,mae,0.037726992472303045,0.04114910066202277,c06,43
qm9dft,0,mae,0.00953147826003919,0.010234402267996354,c06,43
qm9dft,1,mae,0.013035383335391436,0.015124226261505948,c06,43
qm9dft,2,mae,0.014909888346339177,0.01706393593682974,c06,43
