task,target_index,metric,valid,test,config_id,seed
esol,0,rmse,1.6329173668564343,1.6098708027801083,c03,42
freesolv,0,rmse,5.490406249566457,4.113939910530662,c03,42
lipo,0,rmse,0.9584208854703945,0.9148753936595087,c03,42
qm7dft,0,mae,124.42472244786153,136.76131850641352,c03,42
qm8dft,0,mae,0.018239832498237154,0.016740231952799542,c03,42
qm8dft,1,mae,0.015574335534220359,0.015154940950861947,c03,42
qm8dft,2,mae,0.02213364815517297,0.02565379831486755,c03,42
qm8dft,3,mae,0.046753203112435006,0.04457791896402324,c03,42
qm8dft,4,mae,0.0187992389992333,0.017103999811531313,c03,42
qm8dft,5,mae,0.016812503481127228,0.01609085723106535,c03,42
qm8dft,6,mae,0.01657564075046502,0.02289338674169641,c03,42
qm8dft,7,mae,0.03533318146604412,0.037680304477062485,c03,42
qm8dft,8,mae,0.01777427088570993,0.01635189481974401,c03,42
qm8dft,9,mae,0.015176864805469786,0.014764235615516104,c03,42
qm8dft,10,mae,0.02101561607434519,0.026848482116558894,c03,42
qm8dft,11,mae,0.038279545693046715,0.04133250880736836,c03,42
qm9dft,0,mae,0.009991589304117489,0.010668484795696485,c03,42
qm9dft,1,mae,0.014071268100289339,0.016210992716443266,c03,42
qm9dft,2,mae,0.015971805128819516,0.017994958777541925,c03,42
