config_id,fingerprint,model,seed,iterations,depth,learning_rate,l2_leaf_reg,random_strength,bagging_temperature,within_range_count,mean_normalized_score,mean_norm_regression,elapsed_sec_total
c01,ECFP4_1024,CatBoost,42,300,4,0.08,3.0,1.0,0.0,2,-0.19153214127057294,-0.19153214127057294,25.336
c02,ECFP4_1024,CatBoost,42,500,4,0.05,3.0,1.0,0.0,2,-0.17677400109962932,-0.17677400109962932,34.737
c03,ECFP4_1024,CatBoost,42,500,6,0.05,3.0,1.0,0.0,2,-0.15265948036389312,-0.15265948036389312,57.052
c04,ECFP4_1024,CatBoost,42,700,6,0.04,4.0,1.0,0.0,2,-0.1361948127347055,-0.1361948127347055,86.568
c05,ECFP4_1024,CatBoost,42,900,6,0.03,5.0,1.0,0.0,2,-0.1422386122357615,-0.1422386122357615,102.754
c06,ECFP4_1024,CatBoost,42,700,8,0.04,5.0,1.0,0.0,2,-0.119650130654046,-0.119650130654046,181.155
c07,ECFP4_1024,CatBoost,42,900,8,0.03,6.0,1.0,0.0,2,-0.13175335273902866,-0.13175335273902866,262.466
c08,ECFP4_1024,CatBoost,42,500,6,0.05,4.0,2.0,0.5,2,-0.1479441482480829,-0.1479441482480829,68.538
c09,ECFP4_1024,CatBoost,42,700,6,0.04,5.0,2.0,1.0,2,-0.13058206255812502,-0.13058206255812502,83.947
c10,ECFP4_1024,CatBoost,42,900,8,0.03,6.0,2.0,1.0,2,-0.12846163891078466,-0.12846163891078466,229.487
