task,task_type,metric,fingerprint,radius,fp_bits,use_chirality,n_targets,n_train,n_valid,n_test,n_feature_failures,valid,test,elapsed_sec,config_id,seed,benchmark
esol,regression,rmse,ECFP4_1024,2,1024,False,1,902,113,113,0,1.5977428936021427,1.5807212130098078,0.258,c01,42,ESOL
freesolv,regression,rmse,ECFP4_1024,2,1024,False,1,513,64,65,0,5.630102748982928,4.139644513245384,0.123,c01,42,FreeSolv
lipo,regression,rmse,ECFP4_1024,2,1024,False,1,3360,420,420,0,0.9987927612641045,0.9445101365319014,0.97,c01,42,Lipo
qm7dft,regression,mae,ECFP4_1024,2,1024,False,1,5464,685,681,0,123.01185533371907,134.92039610109828,0.498,c01,42,QM7
qm8dft,regression,mae,ECFP4_1024,2,1024,False,12,17428,2179,2179,0,0.024225604683295595,0.02524728228695466,7.902,c01,42,QM8
qm9dft,regression,mae,ECFP4_1024,2,1024,False,3,107108,13388,13389,0,0.014426026175858107,0.016163161040321436,15.585,c01,42,QM9
esol,regression,rmse,ECFP4_1024,2,1024,False,1,902,113,113,0,1.627193763936733,1.567430149906401,0.286,c02,42,ESOL
freesolv,regression,rmse,ECFP4_1024,2,1024,False,1,513,64,65,0,5.628665619370884,4.137895089776427,0.192,c02,42,FreeSolv
lipo,regression,rmse,ECFP4_1024,2,1024,False,1,3360,420,420,0,0.9846127324156515,0.9384578590862119,1.234,c02,42,Lipo
qm7dft,regression,mae,ECFP4_1024,2,1024,False,1,5464,685,681,0,124.24462217685425,132.15158754088048,0.53,c02,42,QM7
qm8dft,regression,mae,ECFP4_1024,2,1024,False,12,17428,2179,2179,0,0.024197869589477453,0.02515032927721352,11.887,c02,42,QM8
qm9dft,regression,mae,ECFP4_1024,2,1024,False,3,107108,13388,13389,0,0.014384928327269163,0.016132651764107064,20.607,c02,42,QM9
esol,regression,rmse,ECFP4_1024,2,1024,False,1,902,113,113,0,1.6329173668564343,1.6098708027801083,0.372,c03,42,ESOL
freesolv,regression,rmse,ECFP4_1024,2,1024,False,1,513,64,65,0,5.490406249566457,4.113939910530662,0.31,c03,42,FreeSolv
lipo,regression,rmse,ECFP4_1024,2,1024,False,1,3360,420,420,0,0.9584208854703945,0.9148753936595087,2.375,c03,42,Lipo
qm7dft,regression,mae,ECFP4_1024,2,1024,False,1,5464,685,681,0,124.42472244786153,136.76131850641352,0.559,c03,42,QM7
qm8dft,regression,mae,ECFP4_1024,2,1024,False,12,17428,2179,2179,0,0.023538990121292232,0.02459937998359127,18.094,c03,42,QM8
qm9dft,regression,mae,ECFP4_1024,2,1024,False,3,107108,13388,13389,0,0.013344887511075447,0.014958145429893892,35.342,c03,42,QM9
esol,regression,rmse,ECFP4_1024,2,1024,False,1,902,113,113,0,1.6303870997344343,1.5921984796802608,0.578,c04,42,ESOL
freesolv,regression,rmse,ECFP4_1024,2,1024,False,1,513,64,65,0,5.465233987347236,4.082988296645888,0.434,c04,42,FreeSolv
lipo,regression,rmse,ECFP4_1024,2,1024,False,1,3360,420,420,0,0.9504620610821719,0.912250457073891,3.414,c04,42,Lipo
qm7dft,regression,mae,ECFP4_1024,2,1024,False,1,5464,685,681,0,124.34605316838808,135.0636930783107,0.636,c04,42,QM7
qm8dft,regression,mae,ECFP4_1024,2,1024,False,12,17428,2179,2179,0,0.023429779758813055,0.024550185907822222,27.242,c04,42,QM8
qm9dft,regression,mae,ECFP4_1024,2,1024,False,3,107108,13388,13389,0,0.013204554964248487,0.01483495388865648,54.264,c04,42,QM9
esol,regression,rmse,ECFP4_1024,2,1024,False,1,902,113,113,0,1.6298651215473021,1.5914056214121703,0.684,c05,42,ESOL
freesolv,regression,rmse,ECFP4_1024,2,1024,False,1,513,64,65,0,5.541633903474658,4.130405336974064,0.677,c05,42,FreeSolv
lipo,regression,rmse,ECFP4_1024,2,1024,False,1,3360,420,420,0,0.9577675858306943,0.9151095965592279,4.815,c05,42,Lipo
qm7dft,regression,mae,ECFP4_1024,2,1024,False,1,5464,685,681,0,124.65855920549838,135.32445907437048,0.958,c05,42,QM7
qm8dft,regression,mae,ECFP4_1024,2,1024,False,12,17428,2179,2179,0,0.023489925375751102,0.02457503222074869,35.0,c05,42,QM8
qm9dft,regression,mae,ECFP4_1024,2,1024,False,3,107108,13388,13389,0,0.013274120826323385,0.014925956160935484,60.621,c05,42,QM9
esol,regression,rmse,ECFP4_1024,2,1024,False,1,902,113,113,0,1.5839002571092549,1.599558597323998,0.928,c06,42,ESOL
freesolv,regression,rmse,ECFP4_1024,2,1024,False,1,513,64,65,0,5.454835033163056,4.124947750173184,0.852,c06,42,FreeSolv
lipo,regression,rmse,ECFP4_1024,2,1024,False,1,3360,420,420,0,0.9416706309026343,0.8946989122177976,9.668,c06,42,Lipo
qm7dft,regression,mae,ECFP4_1024,2,1024,False,1,5464,685,681,0,124.27653362469273,138.23883192908193,0.946,c06,42,QM7
qm8dft,regression,mae,ECFP4_1024,2,1024,False,12,17428,2179,2179,0,0.023053896605665727,0.02422818350525173,52.92,c06,42,QM8
qm9dft,regression,mae,ECFP4_1024,2,1024,False,3,107108,13388,13389,0,0.012507900502842109,0.014158969993351998,115.84,c06,42,QM9
esol,regression,rmse,ECFP4_1024,2,1024,False,1,902,113,113,0,1.6177587774633149,1.623513032371069,1.128,c07,42,ESOL
freesolv,regression,rmse,ECFP4_1024,2,1024,False,1,513,64,65,0,5.503011674897895,4.109013327663745,1.079,c07,42,FreeSolv
lipo,regression,rmse,ECFP4_1024,2,1024,False,1,3360,420,420,0,0.9465991878169233,0.9000571061507988,13.205,c07,42,Lipo
qm7dft,regression,mae,ECFP4_1024,2,1024,False,1,5464,685,681,0,125.53352909825483,139.23272518535157,1.082,c07,42,QM7
qm8dft,regression,mae,ECFP4_1024,2,1024,False,12,17428,2179,2179,0,0.02307119061404934,0.024193907562529357,74.942,c07,42,QM8
qm9dft,regression,mae,ECFP4_1024,2,1024,False,3,107108,13388,13389,0,0.012581795979797203,0.01423809809752966,171.029,c07,42,QM9
esol,regression,rmse,ECFP4_1024,2,1024,False,1,902,113,113,0,1.6193209472794008,1.5983478633138208,0.531,c08,42,ESOL
freesolv,regression,rmse,ECFP4_1024,2,1024,False,1,513,64,65,0,5.555731574144817,4.117069682303996,0.384,c08,42,FreeSolv
lipo,regression,rmse,ECFP4_1024,2,1024,False,1,3360,420,420,0,0.9694044317823253,0.9139011445614138,2.878,c08,42,Lipo
qm7dft,regression,mae,ECFP4_1024,2,1024,False,1,5464,685,681,0,123.18688075357498,134.65339661765228,0.813,c08,42,QM7
qm8dft,regression,mae,ECFP4_1024,2,1024,False,12,17428,2179,2179,0,0.02369329267312791,0.02473802783361662,22.29,c08,42,QM8
qm9dft,regression,mae,ECFP4_1024,2,1024,False,3,107108,13388,13389,0,0.01339121228244297,0.015002005979089605,41.643,c08,42,QM9
esol,regression,rmse,ECFP4_1024,2,1024,False,1,902,113,113,0,1.6010662555533715,1.5808101105170755,0.639,c09,42,ESOL
freesolv,regression,rmse,ECFP4_1024,2,1024,False,1,513,64,65,0,5.613998082181322,4.13349355818297,0.473,c09,42,FreeSolv
lipo,regression,rmse,ECFP4_1024,2,1024,False,1,3360,420,420,0,0.9574576578266762,0.9147043255293468,3.756,c09,42,Lipo
qm7dft,regression,mae,ECFP4_1024,2,1024,False,1,5464,685,681,0,123.41574338414738,132.12251828226567,0.819,c09,42,QM7
qm8dft,regression,mae,ECFP4_1024,2,1024,False,12,17428,2179,2179,0,0.0236137356770532,0.02465355450335278,27.858,c09,42,QM8
qm9dft,regression,mae,ECFP4_1024,2,1024,False,3,107108,13388,13389,0,0.013223145960751243,0.014849449378137093,50.402,c09,42,QM9
esol,regression,rmse,ECFP4_1024,2,1024,False,1,902,113,113,0,1.6212354012170278,1.6096254655814959,0.977,c10,42,ESOL
freesolv,regression,rmse,ECFP4_1024,2,1024,False,1,513,64,65,0,5.631256010466825,4.15608092803189,1.1,c10,42,FreeSolv
lipo,regression,rmse,ECFP4_1024,2,1024,False,1,3360,420,420,0,0.9434021659970229,0.8974024565895904,12.669,c10,42,Lipo
qm7dft,regression,mae,ECFP4_1024,2,1024,False,1,5464,685,681,0,123.3296528967959,138.03022250939915,1.395,c10,42,QM7
qm8dft,regression,mae,ECFP4_1024,2,1024,False,12,17428,2179,2179,0,0.023222389435693058,0.024257822963417455,65.684,c10,42,QM8
qm9dft,regression,mae,ECFP4_1024,2,1024,False,3,107108,13388,13389,0,0.012598681987592055,0.014276255242066773,147.661,c10,42,QM9
