task,task_type,metric,fingerprint,radius,fp_bits,use_chirality,n_targets,n_train,n_valid,n_test,n_feature_failures,valid,test,elapsed_sec,config_id,seed
bbbp,classification,auc,ECFP4_1024,2,1024,False,1,1631,204,204,0,0.9394603206213283,0.6789158950617284,0.468,x03,42
bace,classification,auc,ECFP4_1024,2,1024,False,1,1210,151,152,0,0.7745421245421246,0.8037732568249,0.308,x03,42
clintox,classification,auc,ECFP4_1024,2,1024,False,2,1182,148,148,0,0.9515758888998325,0.8744830222778299,0.593,x03,42
tox21,classification,auc,ECFP4_1024,2,1024,False,12,6257,783,783,8,0.7748204133214532,0.7234122348500381,6.996,x03,42
toxcast,classification,auc,ECFP4_1024,2,1024,False,617,6860,858,858,0,0.6865543908186051,0.5868510191259574,115.111,x03,42
sider,classification,auc,ECFP4_1024,2,1024,False,27,1141,143,143,0,0.644352990522747,0.6227904280235982,6.116,x03,42
hiv,classification,auc,ECFP4_1024,2,1024,False,1,32898,4111,4111,7,0.8210228839261098,0.7613587618109096,8.296,x03,42
muv,classification,auc,ECFP4_1024,2,1024,False,17,74469,9309,9309,0,0.8603366970530354,0.7897428678964842,17.827,x03,42
bbbp,classification,auc,ECFP4_1024,2,1024,False,1,1631,204,204,0,0.939659464303495,0.6899112654320988,0.615,x03,43
bace,classification,auc,ECFP4_1024,2,1024,False,1,1210,151,152,0,0.7578754578754578,0.808641975308642,0.323,x03,43
clintox,classification,auc,ECFP4_1024,2,1024,False,2,1182,148,148,0,0.9441084736859384,0.8417917839641331,0.621,x03,43
tox21,classification,auc,ECFP4_1024,2,1024,False,12,6257,783,783,8,0.7812959767604073,0.719816170642058,8.441,x03,43
toxcast,classification,auc,ECFP4_1024,2,1024,False,617,6860,858,858,0,0.6850882517558653,0.5916761898398553,118.792,x03,43
sider,classification,auc,ECFP4_1024,2,1024,False,27,1141,143,143,0,0.650967008333879,0.6017113349480895,4.804,x03,43
hiv,classification,auc,ECFP4_1024,2,1024,False,1,32898,4111,4111,7,0.8057546794105934,0.7629461094042858,7.949,x03,43
muv,classification,auc,ECFP4_1024,2,1024,False,17,74469,9309,9309,0,0.853280528240783,0.7472824920807288,19.334,x03,43
bbbp,classification,auc,ECFP4_1024,2,1024,False,1,1631,204,204,0,0.9392611769391616,0.6882716049382716,0.574,x03,44
bace,classification,auc,ECFP4_1024,2,1024,False,1,1210,151,152,0,0.7576923076923077,0.8282907320466006,0.343,x03,44
clintox,classification,auc,ECFP4_1024,2,1024,False,2,1182,148,148,0,0.9380889063987655,0.8241945573975602,0.479,x03,44
tox21,classification,auc,ECFP4_1024,2,1024,False,12,6257,783,783,8,0.7762963268343537,0.7202892296955943,6.607,x03,44
toxcast,classification,auc,ECFP4_1024,2,1024,False,617,6860,858,858,0,0.6835302874150703,0.5869360397142427,121.28,x03,44
sider,classification,auc,ECFP4_1024,2,1024,False,27,1141,143,143,0,0.6541388719708311,0.6221212716852139,5.839,x03,44
hiv,classification,auc,ECFP4_1024,2,1024,False,1,32898,4111,4111,7,0.7967083295040285,0.7382567194172318,5.21,x03,44
muv,classification,auc,ECFP4_1024,2,1024,False,17,74469,9309,9309,0,0.8412155635022794,0.7523428818336035,20.237,x03,44
bbbp,classification,auc,ECFP4_1024,2,1024,False,1,1631,204,204,0,0.9353778751369113,0.6696566358024691,0.709,x03,45
bace,classification,auc,ECFP4_1024,2,1024,False,1,1210,151,152,0,0.7706959706959707,0.8355938097722135,0.374,x03,45
clintox,classification,auc,ECFP4_1024,2,1024,False,2,1182,148,148,0,0.931408614859319,0.828938588259827,0.538,x03,45
tox21,classification,auc,ECFP4_1024,2,1024,False,12,6257,783,783,8,0.7762616700067259,0.7281822080015492,8.951,x03,45
toxcast,classification,auc,ECFP4_1024,2,1024,False,617,6860,858,858,0,0.6876320087918578,0.5898126634806548,122.525,x03,45
sider,classification,auc,ECFP4_1024,2,1024,False,27,1141,143,143,0,0.647584378166333,0.6131609728741175,5.24,x03,45
hiv,classification,auc,ECFP4_1024,2,1024,False,1,32898,4111,4111,7,0.8193977269246087,0.7757154174637219,6.552,x03,45
muv,classification,auc,ECFP4_1024,2,1024,False,17,74469,9309,9309,0,0.8471682475759206,0.8094049554259951,20.343,x03,45
bbbp,classification,auc,ECFP4_1024,2,1024,False,1,1631,204,204,0,0.9413521856019118,0.6819058641975309,0.557,x03,46
bace,classification,auc,ECFP4_1024,2,1024,False,1,1210,151,152,0,0.7413919413919414,0.7463049904364458,0.332,x03,46
clintox,classification,auc,ECFP4_1024,2,1024,False,2,1182,148,148,0,0.9441577202140583,0.8235785284815625,0.474,x03,46
tox21,classification,auc,ECFP4_1024,2,1024,False,12,6257,783,783,8,0.7776503038285366,0.727239797424552,7.938,x03,46
toxcast,classification,auc,ECFP4_1024,2,1024,False,617,6860,858,858,0,0.6889360384115423,0.5913892586012297,126.121,x03,46
sider,classification,auc,ECFP4_1024,2,1024,False,27,1141,143,143,0,0.6586260416056421,0.6299075223241216,5.863,x03,46
hiv,classification,auc,ECFP4_1024,2,1024,False,1,32898,4111,4111,7,0.8133091321263364,0.7708673893300871,6.91,x03,46
muv,classification,auc,ECFP4_1024,2,1024,False,17,74469,9309,9309,0,0.8541214664833485,0.7687370666536764,19.581,x03,46
