task,target_index,metric,valid,test,config_id,seed
bbbp,0,auc,0.9353778751369113,0.6696566358024691,x03,45
bace,0,auc,0.7706959706959707,0.8355938097722135,x03,45
clintox,0,auc,0.9132867132867133,0.8129496402877698,x03,45
clintox,1,auc,0.9495305164319249,0.8449275362318841,x03,45
tox21,0,auc,0.8224859431755983,0.7624169128508124,x03,45
tox21,1,auc,0.7962126245847176,0.8362568639414277,x03,45
tox21,2,auc,0.8046086459721957,0.8234349919743178,x03,45
tox21,3,auc,0.7569528135718921,0.6963694763480631,x03,45
tox21,4,auc,0.7016806722689075,0.6896158809478048,x03,45
tox21,5,auc,0.8145833333333333,0.6460966800944575,x03,45
tox21,6,auc,0.7572649572649572,0.6188168449197861,x03,45
tox21,7,auc,0.75033748701973,0.6935068374422187,x03,45
tox21,8,auc,0.7502150845999427,0.7008394866385372,x03,45
tox21,9,auc,0.7884396853146853,0.7101170568561873,x03,45
tox21,10,auc,0.8136247627773051,0.7991373309466985,x03,45
tox21,11,auc,0.7587340301974448,0.7615781330582775,x03,45
toxcast,0,auc,0.6710526315789473,0.6533764367816092,x03,45
toxcast,1,auc,0.7374274661508704,0.5764071157771945,x03,45
toxcast,2,auc,0.5663983903420523,0.5436507936507936,x03,45
toxcast,3,auc,0.6382113821138211,0.5440379403794038,x03,45
toxcast,4,auc,0.5287081339712919,0.5025252525252525,x03,45
toxcast,5,auc,0.5424242424242425,0.5447704081632653,x03,45
toxcast,6,auc,0.592809364548495,0.5979020979020979,x03,45
toxcast,7,auc,0.6978021978021978,0.5497658079625293,x03,45
toxcast,8,auc,0.5546666666666666,0.5558698727015559,x03,45
toxcast,9,auc,0.7321428571428571,0.4105691056910569,x03,45
toxcast,10,auc,0.7188128772635815,0.5842307692307692,x03,45
toxcast,11,auc,0.6714285714285714,0.6282296650717704,x03,45
toxcast,12,auc,1.0,0.5854838709677419,x03,45
toxcast,13,auc,0.6332923832923832,0.5821953781512605,x03,45
toxcast,14,auc,0.7530864197530864,0.5338319088319088,x03,45
toxcast,15,auc,0.675,0.5510204081632653,x03,45
toxcast,16,auc,0.7069377990430622,0.6192010309278351,x03,45
toxcast,17,auc,0.5915233415233415,0.5076023391812865,x03,45
toxcast,18,auc,0.7202380952380952,0.59375,x03,45
toxcast,19,auc,0.6836363636363636,0.6326582278481012,x03,45
toxcast,20,auc,0.8734567901234568,0.7371273712737128,x03,45
toxcast,21,auc,0.35843373493975905,0.36653116531165314,x03,45
toxcast,22,auc,0.6174698795180723,0.5137795275590551,x03,45
toxcast,23,auc,0.6812762973352033,0.4861111111111111,x03,45
toxcast,24,auc,0.6375488917861799,0.6161375661375661,x03,45
toxcast,25,auc,0.8636363636363636,0.7446808510638298,x03,45
toxcast,26,auc,0.67875,0.40870570107858245,x03,45
toxcast,27,auc,0.6014957264957265,0.4251196172248804,x03,45
