task,target_index,metric,valid,test,config_id,seed
bbbp,0,auc,0.9391616050980782,0.6745756172839507,x07,42
bace,0,auc,0.7686813186813187,0.800208659363589,x07,42
clintox,0,auc,0.8797202797202798,0.8257394084732215,x07,42
clintox,1,auc,0.9307511737089202,0.8065217391304348,x07,42
tox21,0,auc,0.7796188485843658,0.7430299113737076,x07,42
tox21,1,auc,0.837109634551495,0.8045683343502136,x07,42
tox21,2,auc,0.7881673332063734,0.8026738193799104,x07,42
tox21,3,auc,0.7460600723092612,0.6905538251897995,x07,42
tox21,4,auc,0.6751918158567775,0.6963153125943824,x07,42
tox21,5,auc,0.7768196202531645,0.6636338380330602,x07,42
tox21,6,auc,0.7454212454212454,0.5645889037433155,x07,42
tox21,7,auc,0.7060228452751818,0.6605956278890601,x07,42
tox21,8,auc,0.6944364783481503,0.6597222222222222,x07,42
tox21,9,auc,0.7205638111888112,0.6701086956521739,x07,42
tox21,10,auc,0.8032196845756168,0.798938444709626,x07,42
tox21,11,auc,0.7383739837398374,0.7162454873646209,x07,42
toxcast,0,auc,0.6786184210526316,0.6610991379310345,x07,42
toxcast,1,auc,0.6955996131528046,0.552930883639545,x07,42
toxcast,2,auc,0.5271629778672032,0.49523809523809526,x07,42
toxcast,3,auc,0.6280487804878049,0.6422764227642277,x07,42
toxcast,4,auc,0.48883572567783096,0.5400883838383839,x07,42
toxcast,5,auc,0.69,0.6051020408163266,x07,42
toxcast,6,auc,0.6655518394648829,0.6173826173826173,x07,42
toxcast,7,auc,0.42857142857142855,0.3524590163934426,x07,42
toxcast,8,auc,0.5646666666666667,0.431046676096181,x07,42
toxcast,9,auc,0.4074675324675325,0.47764227642276424,x07,42
toxcast,10,auc,0.5940643863179075,0.5757692307692308,x07,42
toxcast,11,auc,0.7004761904761905,0.5933014354066986,x07,42
toxcast,12,auc,0.5,0.5,x07,42
toxcast,13,auc,0.6535626535626535,0.5787815126050421,x07,42
toxcast,14,auc,0.6728395061728395,0.4601139601139601,x07,42
toxcast,15,auc,0.5,0.5,x07,42
toxcast,16,auc,0.6503189792663477,0.6140463917525774,x07,42
toxcast,17,auc,0.4858722358722359,0.5473684210526316,x07,42
toxcast,18,auc,0.7782738095238095,0.5175579896907216,x07,42
toxcast,19,auc,0.6581818181818182,0.6369620253164557,x07,42
toxcast,20,auc,0.5432098765432098,0.5650406504065041,x07,42
toxcast,21,auc,0.5572289156626506,0.26558265582655827,x07,42
toxcast,22,auc,0.5,0.5,x07,42
toxcast,23,auc,0.761921458625526,0.5879103535353535,x07,42
toxcast,24,auc,0.7014341590612777,0.6420634920634921,x07,42
toxcast,25,auc,0.5,0.5,x07,42
toxcast,26,auc,0.6375,0.5493066255778121,x07,42
toxcast,27,auc,0.4310897435897436,0.6344497607655503,x07,42
toxcast,28,auc,0.6629353233830846,0.5763790664780764,x07,42
toxcast,29,auc,0.6215384615384615,0.6083586626139817,x07,42
toxcast,30,auc,0.5,0.5,x07,42
toxcast,31,auc,0.7453703703703703,0.6012820512820513,x07,42
toxcast,32,auc,0.71875,0.4904306220095694,x07,42
toxcast,33,auc,0.5,0.5,x07,42
toxcast,34,auc,0.8071428571428572,0.5478468899521531,x07,42
toxcast,35,auc,0.7814814814814814,0.5681818181818182,x07,42
toxcast,36,auc,0.7148148148148148,0.545045045045045,x07,42
toxcast,37,auc,0.75,0.4904306220095694,x07,42
toxcast,38,auc,0.78125,0.5388888888888889,x07,42
toxcast,39,auc,0.5,0.5,x07,42
toxcast,40,auc,0.5,0.5,x07,42
toxcast,41,auc,0.5,0.5,x07,42
toxcast,42,auc,0.5,0.5,x07,42
