config_id,fingerprint,model,seed,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,gamma,within_range_count,mean_normalized_score,mean_norm_classification,elapsed_sec_total
x01,ECFP4_1024,XGBoost,42,500,4,0.05,1.0,0.9,0.8,1.0,0.0,0.0,6,0.2600685948132741,0.2600685948132741,131.693
x02,ECFP4_1024,XGBoost,42,800,4,0.03,1.0,0.85,0.8,1.0,0.0,0.0,5,0.1099725104604845,0.1099725104604845,145.363
x03,ECFP4_1024,XGBoost,42,600,6,0.05,1.0,0.85,0.75,1.0,0.0,0.0,6,0.3358602997115572,0.3358602997115572,146.375
x04,ECFP4_1024,XGBoost,42,900,6,0.03,1.0,0.8,0.75,1.0,0.0,0.0,5,0.16633307158587754,0.16633307158587754,159.852
x05,ECFP4_1024,XGBoost,42,800,6,0.05,5.0,0.8,0.7,2.0,0.0,0.0,3,0.07736351684155858,0.07736351684155858,136.607
x06,ECFP4_1024,XGBoost,42,1000,8,0.03,5.0,0.8,0.7,2.0,0.0,0.0,5,0.14935299865320847,0.14935299865320847,162.189
x07,ECFP4_1024,XGBoost,42,700,8,0.05,10.0,0.75,0.65,3.0,0.0,0.0,5,-0.043526710812068686,-0.043526710812068686,129.059
x08,ECFP4_1024,XGBoost,42,1200,6,0.02,1.0,1.0,0.9,1.0,0.0,0.0,6,0.12028300829556518,0.12028300829556518,178.646
x09,ECFP4_1024,XGBoost,42,1000,4,0.03,5.0,1.0,0.8,1.0,0.0,0.0,3,-0.0357707064078292,-0.0357707064078292,149.963
x10,ECFP4_1024,XGBoost,42,800,5,0.04,3.0,0.9,0.8,1.5,0.0,0.0,6,0.20616989958868287,0.20616989958868287,154.807
