task,task_type,metric,fingerprint,radius,fp_bits,use_chirality,n_targets,n_train,n_valid,n_test,n_feature_failures,valid,test,elapsed_sec,config_id,seed,benchmark
bbbp,classification,auc,ECFP4_1024,2,1024,False,1,1631,204,204,0,0.9438414816289953,0.6748649691358025,0.608,x01,42,BBBP
bace,classification,auc,ECFP4_1024,2,1024,False,1,1210,151,152,0,0.7254578754578754,0.8096852721265867,0.308,x01,42,BACE
clintox,classification,auc,ECFP4_1024,2,1024,False,2,1182,148,148,0,0.9215059588299025,0.8393302749105064,0.401,x01,42,ClinTox
tox21,classification,auc,ECFP4_1024,2,1024,False,12,6257,783,783,8,0.7727543142731833,0.7139361455680717,6.227,x01,42,Tox21
toxcast,classification,auc,ECFP4_1024,2,1024,False,617,6860,858,858,0,0.6764992629323864,0.5803855223295892,95.524,x01,42,ToxCast
sider,classification,auc,ECFP4_1024,2,1024,False,27,1141,143,143,0,0.6404516367281148,0.611788904728916,4.749,x01,42,SIDER
hiv,classification,auc,ECFP4_1024,2,1024,False,1,32898,4111,4111,7,0.8027433140336366,0.7682781674492299,7.25,x01,42,HIV
muv,classification,auc,ECFP4_1024,2,1024,False,17,74469,9309,9309,0,0.8491607101706427,0.7707952699033992,16.627,x01,42,MUV
bbbp,classification,auc,ECFP4_1024,2,1024,False,1,1631,204,204,0,0.9412526137608285,0.6787229938271605,0.691,x02,42,BBBP
bace,classification,auc,ECFP4_1024,2,1024,False,1,1210,151,152,0,0.7732600732600733,0.703095113893236,0.277,x02,42,BACE
clintox,classification,auc,ECFP4_1024,2,1024,False,2,1182,148,148,0,0.9294231590006238,0.8450639488409273,0.55,x02,42,ClinTox
tox21,classification,auc,ECFP4_1024,2,1024,False,12,6257,783,783,8,0.7731117167832254,0.7232994884565548,8.315,x02,42,Tox21
toxcast,classification,auc,ECFP4_1024,2,1024,False,617,6860,858,858,0,0.6761391426314998,0.5810789992882804,102.905,x02,42,ToxCast
sider,classification,auc,ECFP4_1024,2,1024,False,27,1141,143,143,0,0.6278010673237652,0.6090164792664944,4.956,x02,42,SIDER
hiv,classification,auc,ECFP4_1024,2,1024,False,1,32898,4111,4111,7,0.7918604294948381,0.7656879794408054,8.697,x02,42,HIV
muv,classification,auc,ECFP4_1024,2,1024,False,17,74469,9309,9309,0,0.8559657435040973,0.7661142196358919,18.972,x02,42,MUV
bbbp,classification,auc,ECFP4_1024,2,1024,False,1,1631,204,204,0,0.9394603206213283,0.6789158950617284,0.449,x03,42,BBBP
bace,classification,auc,ECFP4_1024,2,1024,False,1,1210,151,152,0,0.7745421245421246,0.8037732568249,0.301,x03,42,BACE
clintox,classification,auc,ECFP4_1024,2,1024,False,2,1182,148,148,0,0.9515758888998325,0.8744830222778299,0.607,x03,42,ClinTox
tox21,classification,auc,ECFP4_1024,2,1024,False,12,6257,783,783,8,0.7748204133214532,0.7234122348500381,6.497,x03,42,Tox21
toxcast,classification,auc,ECFP4_1024,2,1024,False,617,6860,858,858,0,0.6865543908186051,0.5868510191259574,106.757,x03,42,ToxCast
sider,classification,auc,ECFP4_1024,2,1024,False,27,1141,143,143,0,0.644352990522747,0.6227904280235982,5.722,x03,42,SIDER
hiv,classification,auc,ECFP4_1024,2,1024,False,1,32898,4111,4111,7,0.8210228839261098,0.7613587618109096,8.261,x03,42,HIV
muv,classification,auc,ECFP4_1024,2,1024,False,17,74469,9309,9309,0,0.8603366970530354,0.7897428678964842,17.781,x03,42,MUV
bbbp,classification,auc,ECFP4_1024,2,1024,False,1,1631,204,204,0,0.9379667430050782,0.6851851851851852,0.611,x04,42,BBBP
bace,classification,auc,ECFP4_1024,2,1024,False,1,1210,151,152,0,0.778021978021978,0.6732742131803164,0.296,x04,42,BACE
clintox,classification,auc,ECFP4_1024,2,1024,False,2,1182,148,148,0,0.946455891526314,0.8603152260800055,0.728,x04,42,ClinTox
tox21,classification,auc,ECFP4_1024,2,1024,False,12,6257,783,783,8,0.7734779042816404,0.7290202287743955,7.857,x04,42,Tox21
toxcast,classification,auc,ECFP4_1024,2,1024,False,617,6860,858,858,0,0.6854539190270862,0.5865874660243735,118.854,x04,42,ToxCast
sider,classification,auc,ECFP4_1024,2,1024,False,27,1141,143,143,0,0.6501092186118169,0.6275607918433194,5.543,x04,42,SIDER
hiv,classification,auc,ECFP4_1024,2,1024,False,1,32898,4111,4111,7,0.8183239898293662,0.7751821150464707,8.832,x04,42,HIV
muv,classification,auc,ECFP4_1024,2,1024,False,17,74469,9309,9309,0,0.8431315106942769,0.8056041758297874,17.131,x04,42,MUV
bbbp,classification,auc,ECFP4_1024,2,1024,False,1,1631,204,204,0,0.9461316339739122,0.6423611111111112,0.362,x05,42,BBBP
bace,classification,auc,ECFP4_1024,2,1024,False,1,1210,151,152,0,0.7633699633699633,0.7744740045209528,0.297,x05,42,BACE
clintox,classification,auc,ECFP4_1024,2,1024,False,2,1182,148,148,0,0.9569700252798845,0.8421766934278664,0.602,x05,42,ClinTox
tox21,classification,auc,ECFP4_1024,2,1024,False,12,6257,783,783,8,0.7684587804952875,0.7194032031275021,8.131,x05,42,Tox21
toxcast,classification,auc,ECFP4_1024,2,1024,False,617,6860,858,858,0,0.6666909704928821,0.5779999773566331,97.813,x05,42,ToxCast
sider,classification,auc,ECFP4_1024,2,1024,False,27,1141,143,143,0,0.6411712033397848,0.6330006537903358,5.051,x05,42,SIDER
hiv,classification,auc,ECFP4_1024,2,1024,False,1,32898,4111,4111,7,0.8099607879177771,0.7643170444225456,6.852,x05,42,HIV
muv,classification,auc,ECFP4_1024,2,1024,False,17,74469,9309,9309,0,0.7235890436750804,0.6396307721232196,17.5,x05,42,MUV
bbbp,classification,auc,ECFP4_1024,2,1024,False,1,1631,204,204,0,0.9463307776560789,0.6546103395061729,0.387,x06,42,BBBP
bace,classification,auc,ECFP4_1024,2,1024,False,1,1210,151,152,0,0.7565934065934066,0.8180316466701443,0.344,x06,42,BACE
clintox,classification,auc,ECFP4_1024,2,1024,False,2,1182,148,148,0,0.9614153452181622,0.836831404441664,0.62,x06,42,ClinTox
tox21,classification,auc,ECFP4_1024,2,1024,False,12,6257,783,783,8,0.75844340592662,0.7188585374336816,7.961,x06,42,Tox21
toxcast,classification,auc,ECFP4_1024,2,1024,False,617,6860,858,858,0,0.6637922347529056,0.5787145965383463,118.97,x06,42,ToxCast
sider,classification,auc,ECFP4_1024,2,1024,False,27,1141,143,143,0,0.6365235733956498,0.6308985743974708,6.939,x06,42,SIDER
hiv,classification,auc,ECFP4_1024,2,1024,False,1,32898,4111,4111,7,0.8184940109671293,0.7693389755183274,6.838,x06,42,HIV
muv,classification,auc,ECFP4_1024,2,1024,False,17,74469,9309,9309,0,0.723836428093769,0.6239203699620762,20.131,x06,42,MUV
bbbp,classification,auc,ECFP4_1024,2,1024,False,1,1631,204,204,0,0.9391616050980782,0.6745756172839507,0.672,x07,42,BBBP
bace,classification,auc,ECFP4_1024,2,1024,False,1,1210,151,152,0,0.7686813186813187,0.800208659363589,0.329,x07,42,BACE
clintox,classification,auc,ECFP4_1024,2,1024,False,2,1182,148,148,0,0.9052357267146001,0.8161305738018281,0.442,x07,42,ClinTox
tox21,classification,auc,ECFP4_1024,2,1024,False,12,6257,783,783,8,0.7509171144425233,0.7059145352085077,7.811,x07,42,Tox21
toxcast,classification,auc,ECFP4_1024,2,1024,False,617,6860,858,858,0,0.6085911845309292,0.5604625033866858,94.48,x07,42,ToxCast
sider,classification,auc,ECFP4_1024,2,1024,False,27,1141,143,143,0,0.6185006746788553,0.6221463166591038,4.865,x07,42,SIDER
hiv,classification,auc,ECFP4_1024,2,1024,False,1,32898,4111,4111,7,0.7863753331495267,0.7650696577976156,6.7,x07,42,HIV
muv,classification,auc,ECFP4_1024,2,1024,False,17,74469,9309,9309,0,0.5,0.5,13.759,x07,42,MUV
bbbp,classification,auc,ECFP4_1024,2,1024,False,1,1631,204,204,0,0.9324902917454944,0.6543692129629629,0.482,x08,42,BBBP
bace,classification,auc,ECFP4_1024,2,1024,False,1,1210,151,152,0,0.7741758241758242,0.7927316988349852,0.315,x08,42,BACE
clintox,classification,auc,ECFP4_1024,2,1024,False,2,1182,148,148,0,0.9346556026133491,0.8450322350815,0.582,x08,42,ClinTox
tox21,classification,auc,ECFP4_1024,2,1024,False,12,6257,783,783,8,0.7568257007249249,0.705512284488537,9.252,x08,42,Tox21
toxcast,classification,auc,ECFP4_1024,2,1024,False,617,6860,858,858,0,0.656766599225991,0.5740275010152276,137.404,x08,42,ToxCast
sider,classification,auc,ECFP4_1024,2,1024,False,27,1141,143,143,0,0.6320707517318652,0.605877895288656,5.658,x08,42,SIDER
hiv,classification,auc,ECFP4_1024,2,1024,False,1,32898,4111,4111,7,0.7953068039089545,0.7322348462891041,5.765,x08,42,HIV
muv,classification,auc,ECFP4_1024,2,1024,False,17,74469,9309,9309,0,0.8472487255200941,0.7409982272291723,19.19,x08,42,MUV
bbbp,classification,auc,ECFP4_1024,2,1024,False,1,1631,204,204,0,0.940256895349995,0.6006462191358025,0.334,x09,42,BBBP
bace,classification,auc,ECFP4_1024,2,1024,False,1,1210,151,152,0,0.7510989010989011,0.7749956529299252,0.286,x09,42,BACE
clintox,classification,auc,ECFP4_1024,2,1024,False,2,1182,148,148,0,0.9434584195147575,0.8405814478851701,0.459,x09,42,ClinTox
tox21,classification,auc,ECFP4_1024,2,1024,False,12,6257,783,783,8,0.7525243188024414,0.7036472653544966,7.962,x09,42,Tox21
toxcast,classification,auc,ECFP4_1024,2,1024,False,617,6860,858,858,0,0.6550101624338165,0.5756020141207449,109.577,x09,42,ToxCast
sider,classification,auc,ECFP4_1024,2,1024,False,27,1141,143,143,0,0.6081887070013258,0.6088336823925617,4.008,x09,42,SIDER
hiv,classification,auc,ECFP4_1024,2,1024,False,1,32898,4111,4111,7,0.7826655025579756,0.7554856723281742,8.614,x09,42,HIV
muv,classification,auc,ECFP4_1024,2,1024,False,17,74469,9309,9309,0,0.7245292901011007,0.6635973857045372,18.721,x09,42,MUV
bbbp,classification,auc,ECFP4_1024,2,1024,False,1,1631,204,204,0,0.9414517574429951,0.6710069444444444,0.477,x10,42,BBBP
bace,classification,auc,ECFP4_1024,2,1024,False,1,1210,151,152,0,0.7622710622710622,0.7901234567901234,0.293,x10,42,BACE
clintox,classification,auc,ECFP4_1024,2,1024,False,2,1182,148,148,0,0.9291243967300304,0.8623770548778369,0.56,x10,42,ClinTox
tox21,classification,auc,ECFP4_1024,2,1024,False,12,6257,783,783,8,0.7619911104011973,0.7101271098390347,8.309,x10,42,Tox21
toxcast,classification,auc,ECFP4_1024,2,1024,False,617,6860,858,858,0,0.6641476050971261,0.5770955308113676,114.182,x10,42,ToxCast
sider,classification,auc,ECFP4_1024,2,1024,False,27,1141,143,143,0,0.6379761024405134,0.6238576810388088,5.669,x10,42,SIDER
hiv,classification,auc,ECFP4_1024,2,1024,False,1,32898,4111,4111,7,0.8119550899120792,0.7612689119471335,8.809,x10,42,HIV
muv,classification,auc,ECFP4_1024,2,1024,False,17,74469,9309,9309,0,0.7641278610668423,0.7379525005258668,16.507,x10,42,MUV
