task,task_type,metric,fingerprint,radius,fp_bits,use_chirality,n_targets,n_train,n_valid,n_test,n_feature_failures,valid,test,elapsed_sec,config_id,seed
esol,regression,rmse,ECFP4_1024,2,1024,False,1,902,113,113,0,1.686543345451355,1.5447046756744385,0.424,x07,42
freesolv,regression,rmse,ECFP4_1024,2,1024,False,1,513,64,65,0,5.377450942993164,3.9883599281311035,0.436,x07,42
lipo,regression,rmse,ECFP4_1024,2,1024,False,1,3360,420,420,0,0.9077780842781067,0.8622323870658875,1.905,x07,42
qm7dft,regression,mae,ECFP4_1024,2,1024,False,1,5464,685,681,0,128.07891845703125,151.34774780273438,0.527,x07,42
qm8dft,regression,mae,ECFP4_1024,2,1024,False,12,17428,2179,2179,0,0.022303443557272356,0.023358787642791867,36.833,x07,42
qm9dft,regression,mae,ECFP4_1024,2,1024,False,3,107108,13388,13389,0,0.010885903611779213,0.012572670044998327,71.126,x07,42
esol,regression,rmse,ECFP4_1024,2,1024,False,1,902,113,113,0,1.7195727825164795,1.5487600564956665,0.657,x07,43
freesolv,regression,rmse,ECFP4_1024,2,1024,False,1,513,64,65,0,5.342258453369141,3.945535182952881,0.599,x07,43
lipo,regression,rmse,ECFP4_1024,2,1024,False,1,3360,420,420,0,0.9237149953842163,0.8586992621421814,2.131,x07,43
qm7dft,regression,mae,ECFP4_1024,2,1024,False,1,5464,685,681,0,129.05630493164062,160.64913940429688,0.597,x07,43
qm8dft,regression,mae,ECFP4_1024,2,1024,False,12,17428,2179,2179,0,0.022272783409183223,0.023380007051552337,37.228,x07,43
qm9dft,regression,mae,ECFP4_1024,2,1024,False,3,107108,13388,13389,0,0.010907837500174841,0.012625624115268389,70.359,x07,43
esol,regression,rmse,ECFP4_1024,2,1024,False,1,902,113,113,0,1.7400438785552979,1.5883054733276367,0.459,x07,44
freesolv,regression,rmse,ECFP4_1024,2,1024,False,1,513,64,65,0,5.3925862312316895,3.9379186630249023,0.419,x07,44
lipo,regression,rmse,ECFP4_1024,2,1024,False,1,3360,420,420,0,0.9126212000846863,0.8621706366539001,2.27,x07,44
qm7dft,regression,mae,ECFP4_1024,2,1024,False,1,5464,685,681,0,129.06781005859375,155.19921875,0.575,x07,44
qm8dft,regression,mae,ECFP4_1024,2,1024,False,12,17428,2179,2179,0,0.022293568355962634,0.02343226984764139,35.898,x07,44
qm9dft,regression,mae,ECFP4_1024,2,1024,False,3,107108,13388,13389,0,0.010900182339052359,0.012582369148731232,68.677,x07,44
esol,regression,rmse,ECFP4_1024,2,1024,False,1,902,113,113,0,1.6962885856628418,1.5549629926681519,0.644,x07,45
freesolv,regression,rmse,ECFP4_1024,2,1024,False,1,513,64,65,0,5.334721565246582,3.983949899673462,0.471,x07,45
lipo,regression,rmse,ECFP4_1024,2,1024,False,1,3360,420,420,0,0.9149876236915588,0.8721603751182556,2.023,x07,45
qm7dft,regression,mae,ECFP4_1024,2,1024,False,1,5464,685,681,0,127.60128021240234,155.4064178466797,0.543,x07,45
qm8dft,regression,mae,ECFP4_1024,2,1024,False,12,17428,2179,2179,0,0.022227693581953645,0.023388860747218132,35.736,x07,45
qm9dft,regression,mae,ECFP4_1024,2,1024,False,3,107108,13388,13389,0,0.010818161070346832,0.012533026747405529,70.019,x07,45
esol,regression,rmse,ECFP4_1024,2,1024,False,1,902,113,113,0,1.7220572233200073,1.5755441188812256,0.382,x07,46
freesolv,regression,rmse,ECFP4_1024,2,1024,False,1,513,64,65,0,5.380531311035156,3.97991943359375,0.632,x07,46
lipo,regression,rmse,ECFP4_1024,2,1024,False,1,3360,420,420,0,0.9163047075271606,0.865104615688324,2.041,x07,46
qm7dft,regression,mae,ECFP4_1024,2,1024,False,1,5464,685,681,0,126.99336242675781,154.9054718017578,0.542,x07,46
qm8dft,regression,mae,ECFP4_1024,2,1024,False,12,17428,2179,2179,0,0.02227902125256757,0.02349234007609387,36.898,x07,46
qm9dft,regression,mae,ECFP4_1024,2,1024,False,3,107108,13388,13389,0,0.010960402277608713,0.012593240477144718,69.969,x07,46
