task,target_index,metric,valid,test,config_id,seed
esol,0,rmse,1.686543345451355,1.5447046756744385,x07,42
freesolv,0,rmse,5.377450942993164,3.9883599281311035,x07,42
lipo,0,rmse,0.9077780842781067,0.8622323870658875,x07,42
qm7dft,0,mae,128.07891845703125,151.34774780273438,x07,42
qm8dft,0,mae,0.01624387688934803,0.014744121581315994,x07,42
qm8dft,1,mae,0.014729995280504227,0.014155110344290733,x07,42
qm8dft,2,mae,0.021206149831414223,0.024861454963684082,x07,42
qm8dft,3,mae,0.04592941701412201,0.04371493309736252,x07,42
qm8dft,4,mae,0.01637226715683937,0.01451838668435812,x07,42
qm8dft,5,mae,0.015584200620651245,0.01501475740224123,x07,42
qm8dft,6,mae,0.01605270430445671,0.022097373381257057,x07,42
qm8dft,7,mae,0.03435957804322243,0.036699116230010986,x07,42
qm8dft,8,mae,0.015555334277451038,0.014006538316607475,x07,42
qm8dft,9,mae,0.014169956557452679,0.013584519736468792,x07,42
qm8dft,10,mae,0.019590554758906364,0.025947893038392067,x07,42
qm8dft,11,mae,0.03784728795289993,0.04096124693751335,x07,42
qm9dft,0,mae,0.008675909601151943,0.009432523511350155,x07,42
qm9dft,1,mae,0.01121574081480503,0.013329235836863518,x07,42
qm9dft,2,mae,0.012766060419380665,0.014956250786781311,x07,42
