task,target_index,metric,valid,test,config_id,seed
esol,0,rmse,1.6899635791778564,1.6266005039215088,x02,42
freesolv,0,rmse,5.596223831176758,4.013610363006592,x02,42
lipo,0,rmse,0.9650721549987793,0.9147626757621765,x02,42
qm7dft,0,mae,127.12032318115234,144.4748992919922,x02,42
qm8dft,0,mae,0.018344100564718246,0.0163097120821476,x02,42
qm8dft,1,mae,0.015801861882209778,0.015106955543160439,x02,42
qm8dft,2,mae,0.02262618951499462,0.02646605111658573,x02,42
qm8dft,3,mae,0.04688531532883644,0.0445304811000824,x02,42
qm8dft,4,mae,0.01904309168457985,0.016356870532035828,x02,42
qm8dft,5,mae,0.01707899197936058,0.016161536797881126,x02,42
qm8dft,6,mae,0.016786379739642143,0.023059597238898277,x02,42
qm8dft,7,mae,0.03510252386331558,0.03707537055015564,x02,42
qm8dft,8,mae,0.018099965527653694,0.01566026173532009,x02,42
qm8dft,9,mae,0.015415617264807224,0.014697599224746227,x02,42
qm8dft,10,mae,0.02109517902135849,0.027437277138233185,x02,42
qm8dft,11,mae,0.038949742913246155,0.0417969785630703,x02,42
qm9dft,0,mae,0.009843765757977962,0.010537232272326946,x02,42
qm9dft,1,mae,0.013933975249528885,0.016188599169254303,x02,42
qm9dft,2,mae,0.01607251539826393,0.01799251139163971,x02,42
