config_id,fingerprint,model,seed,n_estimators,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,gamma,within_range_count,mean_normalized_score,mean_norm_regression,elapsed_sec_total
x01,ECFP4_1024,XGBoost,42,500,4,0.05,1.0,0.9,0.8,1.0,0.0,0.0,2,-0.16771238949153566,-0.16771238949153566,72.58
x02,ECFP4_1024,XGBoost,42,800,4,0.03,1.0,0.85,0.8,1.0,0.0,0.0,2,-0.16934210450973966,-0.16934210450973966,111.413
x03,ECFP4_1024,XGBoost,42,600,6,0.05,1.0,0.85,0.75,1.0,0.0,0.0,2,-0.12225008116949238,-0.12225008116949238,92.32
x04,ECFP4_1024,XGBoost,42,900,6,0.03,1.0,0.8,0.75,1.0,0.0,0.0,2,-0.11478693198635365,-0.11478693198635365,136.62
x05,ECFP4_1024,XGBoost,42,800,6,0.05,5.0,0.8,0.7,2.0,0.0,0.0,3,-0.10261670440465447,-0.10261670440465447,117.98
x06,ECFP4_1024,XGBoost,42,1000,8,0.03,5.0,0.8,0.7,2.0,0.0,0.0,3,-0.06457747430182285,-0.06457747430182285,155.435
x07,ECFP4_1024,XGBoost,42,700,8,0.05,10.0,0.75,0.65,3.0,0.0,0.0,3,-0.05666553224130012,-0.05666553224130012,106.475
x08,ECFP4_1024,XGBoost,42,1200,6,0.02,1.0,1.0,0.9,1.0,0.0,0.0,2,-0.14885646765176413,-0.14885646765176413,191.428
x09,ECFP4_1024,XGBoost,42,1000,4,0.03,5.0,1.0,0.8,1.0,0.0,0.0,2,-0.15959476838309308,-0.15959476838309308,147.213
x10,ECFP4_1024,XGBoost,42,800,5,0.04,3.0,0.9,0.8,1.5,0.0,0.0,2,-0.1399461453702221,-0.1399461453702221,123.853
