task,task_type,metric,fingerprint,radius,fp_bits,use_chirality,n_targets,n_train,n_valid,n_test,n_feature_failures,valid,test,elapsed_sec,config_id,seed,benchmark
esol,regression,rmse,ECFP4_1024,2,1024,False,1,902,113,113,0,1.6653120517730713,1.62363862991333,0.412,x01,42,ESOL
freesolv,regression,rmse,ECFP4_1024,2,1024,False,1,513,64,65,0,5.621715545654297,4.092514514923096,0.237,x01,42,FreeSolv
lipo,regression,rmse,ECFP4_1024,2,1024,False,1,3360,420,420,0,0.95189368724823,0.9220976829528809,1.456,x01,42,Lipo
qm7dft,regression,mae,ECFP4_1024,2,1024,False,1,5464,685,681,0,128.5236053466797,143.2924041748047,0.557,x01,42,QM7
qm8dft,regression,mae,ECFP4_1024,2,1024,False,12,17428,2179,2179,0,0.02368409838527441,0.024507273997490604,24.606,x01,42,QM8
qm9dft,regression,mae,ECFP4_1024,2,1024,False,3,107108,13388,13389,0,0.01322756273051103,0.014859787498911222,45.311,x01,42,QM9
esol,regression,rmse,ECFP4_1024,2,1024,False,1,902,113,113,0,1.6899635791778564,1.6266005039215088,0.537,x02,42,ESOL
freesolv,regression,rmse,ECFP4_1024,2,1024,False,1,513,64,65,0,5.596223831176758,4.013610363006592,0.513,x02,42,FreeSolv
lipo,regression,rmse,ECFP4_1024,2,1024,False,1,3360,420,420,0,0.9650721549987793,0.9147626757621765,1.984,x02,42,Lipo
qm7dft,regression,mae,ECFP4_1024,2,1024,False,1,5464,685,681,0,127.12032318115234,144.4748992919922,0.844,x02,42,QM7
qm8dft,regression,mae,ECFP4_1024,2,1024,False,12,17428,2179,2179,0,0.023769079940393567,0.024554890968526404,36.63,x02,42,QM8
qm9dft,regression,mae,ECFP4_1024,2,1024,False,3,107108,13388,13389,0,0.013283418801923593,0.01490611427774032,70.905,x02,42,QM9
esol,regression,rmse,ECFP4_1024,2,1024,False,1,902,113,113,0,1.6817582845687866,1.636002779006958,0.49,x03,42,ESOL
freesolv,regression,rmse,ECFP4_1024,2,1024,False,1,513,64,65,0,5.565526962280273,4.073670387268066,0.326,x03,42,FreeSolv
lipo,regression,rmse,ECFP4_1024,2,1024,False,1,3360,420,420,0,0.9397224187850952,0.8940591812133789,1.587,x03,42,Lipo
qm7dft,regression,mae,ECFP4_1024,2,1024,False,1,5464,685,681,0,128.05926513671875,151.23768615722656,0.544,x03,42,QM7
qm8dft,regression,mae,ECFP4_1024,2,1024,False,12,17428,2179,2179,0,0.02264795048783223,0.02371661605623861,33.029,x03,42,QM8
qm9dft,regression,mae,ECFP4_1024,2,1024,False,3,107108,13388,13389,0,0.011680505859355131,0.013226006800929705,56.345,x03,42,QM9
esol,regression,rmse,ECFP4_1024,2,1024,False,1,902,113,113,0,1.6767805814743042,1.6189188957214355,0.584,x04,42,ESOL
freesolv,regression,rmse,ECFP4_1024,2,1024,False,1,513,64,65,0,5.551970958709717,4.069344997406006,0.449,x04,42,FreeSolv
lipo,regression,rmse,ECFP4_1024,2,1024,False,1,3360,420,420,0,0.9343989491462708,0.8893521428108215,2.523,x04,42,Lipo
qm7dft,regression,mae,ECFP4_1024,2,1024,False,1,5464,685,681,0,129.488525390625,150.01821899414062,0.695,x04,42,QM7
qm8dft,regression,mae,ECFP4_1024,2,1024,False,12,17428,2179,2179,0,0.022643944714218378,0.02364280524974068,48.007,x04,42,QM8
qm9dft,regression,mae,ECFP4_1024,2,1024,False,3,107108,13388,13389,0,0.011758103966712952,0.01334873183319966,84.361,x04,42,QM9
esol,regression,rmse,ECFP4_1024,2,1024,False,1,902,113,113,0,1.7270991802215576,1.6177458763122559,0.406,x05,42,ESOL
freesolv,regression,rmse,ECFP4_1024,2,1024,False,1,513,64,65,0,5.467043399810791,4.072926998138428,0.285,x05,42,FreeSolv
lipo,regression,rmse,ECFP4_1024,2,1024,False,1,3360,420,420,0,0.911180853843689,0.866024911403656,2.299,x05,42,Lipo
qm7dft,regression,mae,ECFP4_1024,2,1024,False,1,5464,685,681,0,127.0764389038086,151.3548583984375,0.547,x05,42,QM7
qm8dft,regression,mae,ECFP4_1024,2,1024,False,12,17428,2179,2179,0,0.022520565738280613,0.02346960563833515,40.119,x05,42,QM8
qm9dft,regression,mae,ECFP4_1024,2,1024,False,3,107108,13388,13389,0,0.01146257979174455,0.013047948790093264,74.325,x05,42,QM9
esol,regression,rmse,ECFP4_1024,2,1024,False,1,902,113,113,0,1.6998850107192993,1.5841699838638306,0.909,x06,42,ESOL
freesolv,regression,rmse,ECFP4_1024,2,1024,False,1,513,64,65,0,5.424314498901367,4.077752113342285,0.54,x06,42,FreeSolv
lipo,regression,rmse,ECFP4_1024,2,1024,False,1,3360,420,420,0,0.9186303615570068,0.8618901371955872,3.042,x06,42,Lipo
qm7dft,regression,mae,ECFP4_1024,2,1024,False,1,5464,685,681,0,129.54437255859375,148.5453338623047,0.552,x06,42,QM7
qm8dft,regression,mae,ECFP4_1024,2,1024,False,12,17428,2179,2179,0,0.02212062998053928,0.02315984309340517,54.52,x06,42,QM8
qm9dft,regression,mae,ECFP4_1024,2,1024,False,3,107108,13388,13389,0,0.010930979624390602,0.01259907769660155,95.872,x06,42,QM9
esol,regression,rmse,ECFP4_1024,2,1024,False,1,902,113,113,0,1.686543345451355,1.5447046756744385,0.381,x07,42,ESOL
freesolv,regression,rmse,ECFP4_1024,2,1024,False,1,513,64,65,0,5.377450942993164,3.9883599281311035,0.444,x07,42,FreeSolv
lipo,regression,rmse,ECFP4_1024,2,1024,False,1,3360,420,420,0,0.9077780842781067,0.8622323870658875,1.91,x07,42,Lipo
qm7dft,regression,mae,ECFP4_1024,2,1024,False,1,5464,685,681,0,128.07891845703125,151.34774780273438,0.534,x07,42,QM7
qm8dft,regression,mae,ECFP4_1024,2,1024,False,12,17428,2179,2179,0,0.022303443557272356,0.023358787642791867,35.584,x07,42,QM8
qm9dft,regression,mae,ECFP4_1024,2,1024,False,3,107108,13388,13389,0,0.010885903611779213,0.012572670044998327,67.621,x07,42,QM9
esol,regression,rmse,ECFP4_1024,2,1024,False,1,902,113,113,0,1.6974843740463257,1.6657850742340088,0.715,x08,42,ESOL
freesolv,regression,rmse,ECFP4_1024,2,1024,False,1,513,64,65,0,5.485804080963135,4.097350597381592,0.682,x08,42,FreeSolv
lipo,regression,rmse,ECFP4_1024,2,1024,False,1,3360,420,420,0,0.9529463052749634,0.91070955991745,3.282,x08,42,Lipo
qm7dft,regression,mae,ECFP4_1024,2,1024,False,1,5464,685,681,0,129.37461853027344,153.0107421875,0.942,x08,42,QM7
qm8dft,regression,mae,ECFP4_1024,2,1024,False,12,17428,2179,2179,0,0.022845037514343858,0.02372794132679701,74.049,x08,42,QM8
qm9dft,regression,mae,ECFP4_1024,2,1024,False,3,107108,13388,13389,0,0.01193251833319664,0.01353035494685173,111.758,x08,42,QM9
esol,regression,rmse,ECFP4_1024,2,1024,False,1,902,113,113,0,1.6920325756072998,1.605157494544983,0.758,x09,42,ESOL
freesolv,regression,rmse,ECFP4_1024,2,1024,False,1,513,64,65,0,5.534876823425293,4.136476993560791,0.26,x09,42,FreeSolv
lipo,regression,rmse,ECFP4_1024,2,1024,False,1,3360,420,420,0,0.9440090656280518,0.9175241589546204,2.357,x09,42,Lipo
qm7dft,regression,mae,ECFP4_1024,2,1024,False,1,5464,685,681,0,127.54737854003906,145.38674926757812,0.867,x09,42,QM7
qm8dft,regression,mae,ECFP4_1024,2,1024,False,12,17428,2179,2179,0,0.02369947700450818,0.024409238947555423,49.771,x09,42,QM8
qm9dft,regression,mae,ECFP4_1024,2,1024,False,3,107108,13388,13389,0,0.013030217650036017,0.014652032715578875,93.199,x09,42,QM9
esol,regression,rmse,ECFP4_1024,2,1024,False,1,902,113,113,0,1.7212976217269897,1.6424793004989624,0.377,x10,42,ESOL
freesolv,regression,rmse,ECFP4_1024,2,1024,False,1,513,64,65,0,5.489233493804932,4.1007080078125,0.364,x10,42,FreeSolv
lipo,regression,rmse,ECFP4_1024,2,1024,False,1,3360,420,420,0,0.949938178062439,0.8993427753448486,2.124,x10,42,Lipo
qm7dft,regression,mae,ECFP4_1024,2,1024,False,1,5464,685,681,0,127.52278900146484,149.59396362304688,0.578,x10,42,QM7
qm8dft,regression,mae,ECFP4_1024,2,1024,False,12,17428,2179,2179,0,0.02301116567105055,0.023885160762195785,43.662,x10,42,QM8
qm9dft,regression,mae,ECFP4_1024,2,1024,False,3,107108,13388,13389,0,0.012153119780123234,0.013701886869966984,76.748,x10,42,QM9
