fingerprint,task,benchmark,kind,metric,test_value,lit_min,lit_max,within_range,normalized_score
FP2,bbbp,BBBP,classification,auc,0.5838638117283951,0.643,0.729,False,-0.6876300961814531
FP2,bace,BACE,classification,auc,0.7885585115632064,0.779,0.857,True,0.12254502004110798
FP2,clintox,ClinTox,classification,auc,0.6588038265040141,0.726,0.919,False,-0.34816670205173994
FP2,tox21,Tox21,classification,auc,0.6826202159836376,0.735,0.796,False,-0.8586849838747918
FP2,toxcast,ToxCast,classification,auc,0.5751754429524869,0.631,0.696,False,-0.85883933919251
FP2,sider,SIDER,classification,auc,0.6347487835209032,0.57,0.672,True,0.6347919953029729
FP2,hiv,HIV,classification,auc,0.6856370343189324,0.625,0.808,True,0.331349914311106
FP2,muv,MUV,classification,auc,0.673829992970954,0.673,0.821,True,0.00560806061455396
FP2,esol,ESOL,regression,rmse,1.809640201485096,0.79,1.27,False,-1.124250419760617
FP2,freesolv,FreeSolv,regression,rmse,3.3897592006518886,1.48,5.06,True,0.46654770931511486
FP2,lipo,Lipo,regression,rmse,1.0617158818592862,0.603,2.072,True,0.687735955167266
FP2,qm7dft,QM7,regression,mae,118.29016407755798,41.8,113.2,False,-0.07129081341117607
FP2,qm8dft,QM8,regression,mae,0.02596518986693876,0.0156,0.0236,False,-0.29564873336734504
FP2,qm9dft,QM9,regression,mae,0.01713830905114523,0.00467,0.01037,False,-1.1874226405517947
FP3,bbbp,BBBP,classification,auc,0.6490644290123457,0.643,0.729,True,0.07051661642262465
FP3,bace,BACE,classification,auc,0.7636063293340288,0.779,0.857,False,-0.1973547521278359
FP3,clintox,ClinTox,classification,auc,0.9087434400305843,0.726,0.919,True,0.9468572022310064
FP3,tox21,Tox21,classification,auc,0.6062808805809762,0.735,0.796,False,-2.1101494986725196
FP3,toxcast,ToxCast,classification,auc,0.5693264434964326,0.631,0.696,False,-0.9488239462087305
FP3,sider,SIDER,classification,auc,0.5761571540654783,0.57,0.672,True,0.06036425554390527
FP3,hiv,HIV,classification,auc,0.622856756600166,0.625,0.808,False,-0.011711712567398688
FP3,muv,MUV,classification,auc,0.5985838442627844,0.673,0.821,False,-0.5028118630892949
FP3,esol,ESOL,regression,rmse,2.106526139370364,0.79,1.27,False,-1.7427627903549245
FP3,freesolv,FreeSolv,regression,rmse,3.8225900879059336,1.48,5.06,True,0.3456452268419179
FP3,lipo,Lipo,regression,rmse,1.0676844702578627,0.603,2.072,True,0.683672926985798
FP3,qm7dft,QM7,regression,mae,143.73881610055903,41.8,113.2,False,-0.42771451121231135
FP3,qm8dft,QM8,regression,mae,0.027704741456867927,0.0156,0.0236,False,-0.5130926821084909
FP3,qm9dft,QM9,regression,mae,0.023737781944702444,0.00467,0.01037,False,-2.3452249025793757
FP4,bbbp,BBBP,classification,auc,0.6703800154320988,0.643,0.729,True,0.31837227246626504
FP4,bace,BACE,classification,auc,0.810641627543036,0.779,0.857,True,0.40566189157738497
FP4,clintox,ClinTox,classification,auc,0.8096496715670942,0.726,0.919,True,0.43341798739427057
FP4,tox21,Tox21,classification,auc,0.6856727208463362,0.735,0.796,False,-0.8086439205518641
FP4,toxcast,ToxCast,classification,auc,0.5729340558280237,0.631,0.696,False,-0.8933222180304053
FP4,sider,SIDER,classification,auc,0.6023035569848803,0.57,0.672,True,0.31670153906745363
FP4,hiv,HIV,classification,auc,0.694650340871782,0.625,0.808,True,0.38060295558350815
FP4,muv,MUV,classification,auc,0.6649221116596017,0.673,0.821,False,-0.05458032662431323
FP4,esol,ESOL,regression,rmse,1.843570626547701,0.79,1.27,False,-1.1949388053077103
FP4,freesolv,FreeSolv,regression,rmse,3.312485862253166,1.48,5.06,True,0.4881324407114061
FP4,lipo,Lipo,regression,rmse,1.0572879965249582,0.603,2.072,True,0.6907501725493818
FP4,qm7dft,QM7,regression,mae,133.4460633871274,41.8,113.2,False,-0.2835583107440811
FP4,qm8dft,QM8,regression,mae,0.026445197046173183,0.0156,0.0236,False,-0.355649630771648
FP4,qm9dft,QM9,regression,mae,0.01763413199493306,0.00467,0.01037,False,-1.2744091219180804
MACCS,bbbp,BBBP,classification,auc,0.6630979938271605,0.643,0.729,True,0.2336976026414011
MACCS,bace,BACE,classification,auc,0.7640410363415058,0.779,0.857,False,-0.191781585365311
MACCS,clintox,ClinTox,classification,auc,0.6157178604942133,0.726,0.919,False,-0.5714100492527806
MACCS,tox21,Tox21,classification,auc,0.6982785441062429,0.735,0.796,False,-0.6019910802255254
MACCS,toxcast,ToxCast,classification,auc,0.5835144829572554,0.631,0.696,False,-0.7305464160422255
MACCS,sider,SIDER,classification,auc,0.6205111370330281,0.57,0.672,True,0.49520722581400073
MACCS,hiv,HIV,classification,auc,0.6839220533420884,0.625,0.808,True,0.32197843356332473
MACCS,muv,MUV,classification,auc,0.643750310583822,0.673,0.821,False,-0.19763303659579745
MACCS,esol,ESOL,regression,rmse,1.596210948071176,0.79,1.27,False,-0.6796061418149498
MACCS,freesolv,FreeSolv,regression,rmse,3.0428439665190186,1.48,5.06,True,0.5634514060002741
MACCS,lipo,Lipo,regression,rmse,1.0713684953109217,0.603,2.072,True,0.681165081476568
MACCS,qm7dft,QM7,regression,mae,124.33518190999943,41.8,113.2,False,-0.15595492871147662
MACCS,qm8dft,QM8,regression,mae,0.028336796036253994,0.0156,0.0236,False,-0.5920995045317493
MACCS,qm9dft,QM9,regression,mae,0.022552853760014268,0.00467,0.01037,False,-2.1373427649147834
