task,best_fingerprint,FP2,FP3,FP4,MACCS
bace,FP4,0.7885585115632064,0.7636063293340288,0.810641627543036,0.7640410363415058
bbbp,FP4,0.5838638117283951,0.6490644290123457,0.6703800154320988,0.6630979938271605
clintox,FP3,0.6588038265040141,0.9087434400305843,0.8096496715670942,0.6157178604942133
esol,MACCS,1.809640201485096,2.106526139370364,1.843570626547701,1.596210948071176
freesolv,MACCS,3.3897592006518886,3.8225900879059336,3.312485862253166,3.0428439665190186
hiv,FP4,0.6856370343189324,0.622856756600166,0.694650340871782,0.6839220533420884
lipo,FP4,1.0617158818592862,1.0676844702578627,1.0572879965249582,1.0713684953109217
muv,FP2,0.673829992970954,0.5985838442627844,0.6649221116596017,0.643750310583822
qm7dft,FP2,118.29016407755798,143.73881610055903,133.4460633871274,124.33518190999943
qm8dft,FP2,0.02596518986693876,0.027704741456867927,0.026445197046173183,0.028336796036253994
qm9dft,FP2,0.01713830905114523,0.023737781944702444,0.01763413199493306,0.022552853760014268
sider,FP2,0.6347487835209032,0.5761571540654783,0.6023035569848803,0.6205111370330281
tox21,MACCS,0.6826202159836376,0.6062808805809762,0.6856727208463362,0.6982785441062429
toxcast,MACCS,0.5751754429524869,0.5693264434964326,0.5729340558280237,0.5835144829572554
