task,target_index,metric,valid,test
bbbp,0,auc,0.8906701184904909,0.6490644290123457
bace,0,auc,0.6291208791208791,0.7636063293340288
clintox,0,auc,0.9531468531468531,0.9312549960031974
clintox,1,auc,0.9477699530516432,0.886231884057971
tox21,0,auc,0.7513559237697168,0.6982782496307238
tox21,1,auc,0.7864119601328904,0.7522879804759
tox21,2,auc,0.6584460102837555,0.6710315113626764
tox21,3,auc,0.6258922777417262,0.6494062682499513
tox21,4,auc,0.5945378151260504,0.5698360835781554
tox21,5,auc,0.7330696202531646,0.47013474093624114
tox21,6,auc,0.6905982905982906,0.5293282085561497
tox21,7,auc,0.5807372793354102,0.5565852019013781
tox21,8,auc,0.565027244049326,0.4848584739803094
tox21,9,auc,0.6321241258741259,0.6126596011015606
tox21,10,auc,0.6465763584407652,0.6888549124900557
tox21,11,auc,0.562520325203252,0.5921093347086127
toxcast,0,auc,0.5449013157894737,0.5141882183908046
toxcast,1,auc,0.7098646034816247,0.5083114610673666
toxcast,2,auc,0.5065392354124748,0.49702380952380953
toxcast,3,auc,0.5833333333333334,0.5311653116531165
toxcast,4,auc,0.580542264752791,0.5722853535353535
toxcast,5,auc,0.5681818181818182,0.5653061224489796
toxcast,6,auc,0.5431995540691192,0.5564435564435565
toxcast,7,auc,0.5457875457875457,0.5954332552693209
toxcast,8,auc,0.6353333333333333,0.6179278642149929
toxcast,9,auc,0.6266233766233766,0.5636856368563685
toxcast,10,auc,0.6644869215291751,0.5871153846153846
toxcast,11,auc,0.5538095238095239,0.5858851674641148
toxcast,12,auc,1.0,0.5685483870967742
toxcast,13,auc,0.5964373464373465,0.5753676470588235
toxcast,14,auc,0.8703703703703703,0.4985754985754986
toxcast,15,auc,0.5375,0.5901360544217688
toxcast,16,auc,0.5829346092503987,0.555090206185567
toxcast,17,auc,0.5933660933660934,0.49298245614035086
toxcast,18,auc,0.5472470238095238,0.5335051546391752
toxcast,19,auc,0.5721212121212121,0.5173417721518987
toxcast,20,auc,0.7577160493827161,0.6090785907859079
toxcast,21,auc,0.9156626506024096,0.3970189701897019
toxcast,22,auc,0.6656626506024096,0.2618110236220472
toxcast,23,auc,0.6209677419354839,0.5514520202020202
toxcast,24,auc,0.5114080834419817,0.4917989417989418
toxcast,25,auc,0.6022727272727273,0.3723404255319149
toxcast,26,auc,0.72,0.5597072419106317
toxcast,27,auc,0.48878205128205127,0.5124401913875598
toxcast,28,auc,0.574212271973466,0.5687765205091938
toxcast,29,auc,0.5642307692307692,0.5466565349544072
toxcast,30,auc,0.6,0.6598639455782312
toxcast,31,auc,0.6481481481481481,0.6615384615384615
toxcast,32,auc,0.7109375,0.5885167464114832
toxcast,33,auc,0.7368421052631579,0.4705128205128205
toxcast,34,auc,0.6714285714285714,0.4820574162679426
toxcast,35,auc,0.6148148148148148,0.6770334928229665
toxcast,36,auc,0.6259259259259259,0.5213963963963963
toxcast,37,auc,0.5892857142857143,0.5083732057416268
toxcast,38,auc,0.6953125,0.8430555555555556
toxcast,39,auc,0.57421875,0.4380630630630631
toxcast,40,auc,0.6507936507936508,0.4708333333333333
toxcast,41,auc,0.6590909090909091,0.5717054263565892
toxcast,42,auc,0.631578947368421,0.48643410852713176
toxcast,43,auc,0.8409090909090909,0.717391304347826
toxcast,44,auc,0.6625,0.55
toxcast,45,auc,0.6775510204081633,0.7565524193548387
toxcast,46,auc,0.546765350877193,0.4899876659653196
toxcast,47,auc,0.6977157360406091,0.4805933942899795
toxcast,48,auc,0.715566037735849,0.6082677165354331
toxcast,49,auc,0.6326291079812206,0.4311023622047244
toxcast,50,auc,0.6736760124610592,0.5673306772908366
toxcast,51,auc,0.7164404223227753,0.4644396551724138
toxcast,52,auc,0.6812169312169312,0.6197087378640777
toxcast,53,auc,0.6049641148325359,0.5273820829376384
toxcast,54,auc,0.6393513701005896,0.5561139028475712
toxcast,55,auc,0.7342414529914529,0.7223805001582779
toxcast,56,auc,0.4565727699530516,0.5111553784860557
toxcast,57,auc,0.5490851513019,0.5102459016393442
toxcast,58,auc,0.5994787693872362,0.5835034013605442
toxcast,59,auc,0.5533018867924528,0.7944664031620553
toxcast,60,auc,0.7040409295872355,0.6574495770982434
toxcast,61,auc,0.6038647342995169,0.531
toxcast,62,auc,0.6738989637305699,0.6153199741435036
toxcast,63,auc,0.5624300111982082,0.5400486304798684
toxcast,64,auc,0.667687074829932,0.5024801587301587
toxcast,65,auc,0.46072607260726073,0.5585365853658537
toxcast,66,auc,0.6866111689212626,0.6480153036824486
toxcast,67,auc,0.5861788617886179,0.5380857206306906
toxcast,68,auc,0.7164296998420221,0.7881944444444444
toxcast,69,auc,0.6666666666666666,0.5893922651933702
toxcast,70,auc,0.5641399416909622,0.5902184235517569
toxcast,71,auc,0.5338321405335068,0.47282608695652173
toxcast,72,auc,0.7529342723004695,0.7972111553784861
toxcast,73,auc,0.8320754716981132,0.46161417322834647
toxcast,74,auc,nan,0.19019607843137254
toxcast,75,auc,0.5600125156445557,0.5706919945725916
toxcast,76,auc,0.5998092265001734,0.5973520249221184
toxcast,77,auc,0.7756410256410257,0.7465447154471545
toxcast,78,auc,0.5422647527910686,0.45225752508361206
toxcast,79,auc,0.48753894080996885,0.7588235294117647
toxcast,80,auc,0.5731884057971014,0.5063745019920318
toxcast,81,auc,0.564622641509434,0.582
toxcast,82,auc,0.5552922590837283,0.5828210382513661
toxcast,83,auc,0.6283828382838283,0.5311624649859944
toxcast,84,auc,0.825,0.803921568627451
toxcast,85,auc,0.7842420212765957,0.6080402010050251
toxcast,86,auc,0.635024154589372,0.5539888682745826
toxcast,87,auc,0.5695102685624013,0.7125984251968503
toxcast,88,auc,0.5440140845070423,0.43017127799736493
toxcast,89,auc,0.5342039800995025,0.5755633255633256
toxcast,90,auc,0.7222772277227723,0.629296875
toxcast,91,auc,0.5367298578199052,0.5596672403901319
toxcast,92,auc,0.386046511627907,0.40476190476190477
toxcast,93,auc,0.6046603475513428,0.7106854838709677
toxcast,94,auc,0.5928923293455313,0.4971695791287226
toxcast,95,auc,0.6262951334379906,0.5472184531886024
toxcast,96,auc,0.5639671361502347,0.6278884462151394
toxcast,97,auc,0.8697674418604651,0.5699404761904762
toxcast,98,auc,0.6202559576345984,0.6008064516129032
toxcast,99,auc,0.6003521126760564,0.47035573122529645
toxcast,100,auc,0.6793048973143759,0.6091463414634146
toxcast,101,auc,0.6373873873873874,0.503358843537415
toxcast,102,auc,0.49632132132132134,0.5053661616161617
toxcast,103,auc,0.616822429906542,0.4580705009276438
toxcast,104,auc,0.6330419580419581,0.4712159863945578
toxcast,105,auc,0.4481132075471698,nan
toxcast,106,auc,0.6245283018867924,0.4332157258064516
toxcast,107,auc,0.6653061224489796,0.3673155737704918
toxcast,108,auc,0.6325581395348837,0.25098039215686274
toxcast,109,auc,0.3585680751173709,0.47045765027322406
toxcast,110,auc,0.5857793522267206,0.546598530820824
toxcast,111,auc,0.5537735849056604,0.6843137254901961
toxcast,112,auc,0.7110042735042735,0.6014394961763383
toxcast,113,auc,0.5322966507177034,0.4536290322580645
toxcast,114,auc,0.9861111111111112,0.22156862745098038
toxcast,115,auc,0.5583133971291866,0.5368906455862977
toxcast,116,auc,0.7187993680884676,0.6083665338645419
toxcast,117,auc,0.5686619718309859,0.5270916334661354
toxcast,118,auc,0.9186046511627907,0.5024801587301587
toxcast,119,auc,0.5537735849056604,0.6843137254901961
toxcast,120,auc,0.7625850340136054,0.5840163934426229
toxcast,121,auc,0.439622641509434,0.4298804780876494
toxcast,122,auc,0.6424528301886793,0.8229166666666666
toxcast,123,auc,0.5435323383084577,0.5354808590102708
toxcast,124,auc,0.7422248803827751,0.6533333333333333
toxcast,125,auc,0.6174991328477281,0.60107421875
toxcast,126,auc,0.7036764705882353,0.5538177988414955
toxcast,127,auc,0.5036764705882353,0.6202912314023425
toxcast,128,auc,0.6291478129713424,0.6164396342601232
toxcast,129,auc,0.7045813586097947,0.6533963112910481
toxcast,130,auc,0.6615646258503401,0.4262187088274045
toxcast,131,auc,0.607008547008547,0.5727391874180865
toxcast,132,auc,0.5570754716981132,0.6172595520421608
toxcast,133,auc,0.6449683321604504,0.506079027355623
toxcast,134,auc,0.6261737089201878,0.6240157480314961
toxcast,135,auc,0.6867571059431524,0.6281288543858377
toxcast,136,auc,0.5370370370370371,0.5535714285714286
toxcast,137,auc,0.6334407612031921,0.5982057416267943
toxcast,138,auc,0.5422535211267606,0.6865079365079365
toxcast,139,auc,0.8092006033182504,0.6799392097264437
toxcast,140,auc,0.7081358609794629,0.39243027888446214
toxcast,141,auc,0.6044049769215332,0.5803532422143169
toxcast,142,auc,0.5070048309178744,0.49536178107606677
toxcast,143,auc,0.6797653487624558,0.566031155545222
toxcast,144,auc,0.5911749069643807,0.6233552631578947
toxcast,145,auc,0.6583112290008841,0.6521538360050135
toxcast,146,auc,0.7104651162790697,0.7559055118110236
toxcast,147,auc,0.641158315177923,0.5667496886674969
toxcast,148,auc,0.6754504504504505,0.5631091421667338
toxcast,149,auc,0.5244708994708994,0.4472573839662447
toxcast,150,auc,0.6297846889952153,0.4885552547378784
toxcast,151,auc,0.6394117647058823,0.43072916666666666
toxcast,152,auc,0.7511627906976744,0.4752988047808765
toxcast,153,auc,0.3613744075829384,0.38
toxcast,154,auc,0.722488038277512,0.4993252361673414
toxcast,155,auc,0.6330188679245283,0.5549019607843138
toxcast,156,auc,0.6947409733124019,0.580583697369644
toxcast,157,auc,0.5934782608695652,0.6342629482071713
toxcast,158,auc,0.9314641744548287,0.7839262187088274
toxcast,159,auc,0.6302325581395349,0.4725490196078431
toxcast,160,auc,0.6597222222222222,0.1889763779527559
toxcast,161,auc,0.624198717948718,0.4246031746031746
toxcast,162,auc,0.6453396524486572,0.371
toxcast,163,auc,0.6753484959647835,0.6049410029498525
toxcast,164,auc,0.70481220657277,0.4855072463768116
toxcast,165,auc,0.6972457167642594,0.6647392767031118
toxcast,166,auc,0.5892094017094017,0.4987012987012987
toxcast,167,auc,0.6488372093023256,0.4681274900398406
toxcast,168,auc,0.6041666666666666,0.7608695652173914
toxcast,169,auc,0.6323011963406052,0.5533405172413793
toxcast,170,auc,nan,0.35375494071146246
toxcast,171,auc,0.5586336336336336,0.521226706158213
toxcast,172,auc,0.687200956937799,0.5144308943089431
toxcast,173,auc,0.6636171710063336,0.5276639344262295
toxcast,174,auc,0.7194835680751174,0.7096456692913385
toxcast,175,auc,0.6583778966131907,0.6380050505050505
toxcast,176,auc,0.6686153441933789,0.6093626024861147
toxcast,177,auc,0.6503115264797508,0.27460629921259844
toxcast,178,auc,0.6001794258373205,0.3992352676563203
toxcast,179,auc,0.6831456720619282,0.5949341438703141
toxcast,180,auc,0.5221169036334913,0.6195219123505976
toxcast,181,auc,0.8262910798122066,0.528125
toxcast,182,auc,0.6105919003115264,nan
toxcast,183,auc,0.6762931034482759,0.6100410967306631
toxcast,184,auc,0.8604651162790697,0.4015748031496063
toxcast,185,auc,0.8060747663551402,0.7883333333333333
toxcast,186,auc,0.721123417721519,0.7358796296296296
toxcast,187,auc,0.8865740740740741,0.3169291338582677
toxcast,188,auc,0.6466763005780347,0.5882775119617225
toxcast,189,auc,0.7422595520421608,0.6169893190921228
toxcast,190,auc,0.6652439024390244,0.5811818703384969
toxcast,191,auc,0.5960918614020951,0.5441954834156669
toxcast,192,auc,0.5833333333333334,0.5623067408781695
toxcast,193,auc,0.5576923076923077,0.633843537414966
toxcast,194,auc,0.5610079575596817,0.5227272727272727
toxcast,195,auc,0.5909610983981693,0.5941176470588235
toxcast,196,auc,0.5195652173913043,0.5447761194029851
toxcast,197,auc,0.6330419580419581,0.46227581941867657
toxcast,198,auc,0.5505050505050505,0.5978810879190386
toxcast,199,auc,0.4733009708737864,0.6255274261603375
toxcast,200,auc,0.5417525773195876,0.4998479318734793
toxcast,201,auc,0.5877314814814815,0.5416141235813366
toxcast,202,auc,0.6754901960784314,0.6195175438596491
toxcast,203,auc,0.5464357429718876,0.5867346938775511
toxcast,204,auc,0.5152509652509653,0.6184391080617496
toxcast,205,auc,0.5976134585289515,0.4596955128205128
toxcast,206,auc,0.589375,0.5531738118976404
toxcast,207,auc,0.6772763900080581,0.6155612244897959
toxcast,208,auc,0.6089285714285714,0.5498299319727891
toxcast,209,auc,0.7904761904761904,0.4717068645640074
toxcast,210,auc,0.6144366197183099,0.5620187479075996
toxcast,211,auc,0.5933786078098472,0.479073756432247
toxcast,212,auc,0.5484449760765551,0.6395588235294117
toxcast,213,auc,0.5643039049235993,0.49206773618538324
toxcast,214,auc,0.32857142857142857,0.3050314465408805
toxcast,215,auc,0.5379166666666667,0.5173267326732673
toxcast,216,auc,0.5143540669856459,0.5203798054654933
toxcast,217,auc,0.5495568090249798,0.5391672547635851
toxcast,218,auc,0.49381868131868134,0.5337003222341569
