task,task_type,metric,feature_mode,fingerprint,n_targets,n_train,n_valid,n_test,n_feature_failures,n_anchors,valid,test,elapsed_sec
bbbp,classification,auc,tanimoto,FP4,1,1631,204,204,0,96,0.9392611769391616,0.6703800154320988,1.072
bace,classification,auc,tanimoto,FP4,1,1210,151,152,0,96,0.697069597069597,0.810641627543036,0.926
clintox,classification,auc,tanimoto,FP4,2,1182,148,148,0,96,0.9383769985882662,0.8096496715670942,0.905
tox21,classification,auc,tanimoto,FP4,12,6264,783,784,0,96,0.7103626129009215,0.6856727208463362,4.004
toxcast,classification,auc,tanimoto,FP4,617,6860,858,858,0,96,0.6867833976468435,0.5729340558280237,45.983
sider,classification,auc,tanimoto,FP4,27,1141,143,143,0,96,0.6381062971581506,0.6023035569848803,3.388
hiv,classification,auc,tanimoto,FP4,1,32901,4113,4113,0,96,0.7060445448755633,0.694650340871782,18.288
muv,classification,auc,tanimoto,FP4,17,74469,9309,9309,0,96,0.7777139090541914,0.6649221116596017,42.104
esol,regression,rmse,tanimoto,FP4,1,902,113,113,0,96,1.7388429459605133,1.843570626547701,0.326
freesolv,regression,rmse,tanimoto,FP4,1,513,64,65,0,96,5.651053026326642,3.312485862253166,0.15
lipo,regression,rmse,tanimoto,FP4,1,3360,420,420,0,96,1.1100485525935488,1.0572879965249582,2.006
qm7dft,regression,mae,tanimoto,FP4,1,5464,685,681,0,96,133.97627502146565,133.4460633871274,1.239
qm8dft,regression,mae,tanimoto,FP4,12,17428,2179,2179,0,96,0.024287574380771268,0.026445197046173183,5.595
qm9dft,regression,mae,tanimoto,FP4,3,107108,13388,13389,0,96,0.015091149692030174,0.01763413199493306,27.907
