task,target_index,metric,valid,test
bbbp,0,auc,0.9426466195359953,0.6630979938271605
bace,0,auc,0.6943223443223443,0.7640410363415058
clintox,0,auc,0.9048951048951049,0.6618705035971223
clintox,1,auc,0.9284037558685446,0.5695652173913044
tox21,0,auc,0.8148231079265562,0.7314900295420975
tox21,1,auc,0.8474086378737542,0.7908023184868822
tox21,2,auc,0.8000380879832413,0.7937927684379488
tox21,3,auc,0.7120839899879484,0.7137920965544092
tox21,4,auc,0.6980727073438071,0.6759149940968123
tox21,5,auc,0.7609177215189873,0.7218016391165439
tox21,6,auc,0.7094627594627595,0.546875
tox21,7,auc,0.6868509865005192,0.6623973688001152
tox21,8,auc,0.6338782143198547,0.665106364275668
tox21,9,auc,0.7018793706293707,0.6771259283985647
tox21,10,auc,0.7690159893549724,0.7237097255369929
tox21,11,auc,0.7051335656213705,0.6765342960288808
toxcast,0,auc,0.7315789473684211,0.5885416666666666
toxcast,1,auc,0.7117988394584139,0.5409740449110528
toxcast,2,auc,0.6111670020120724,0.5212301587301588
toxcast,3,auc,0.8313008130081301,0.40040650406504064
toxcast,4,auc,0.5598086124401914,0.4928977272727273
toxcast,5,auc,0.6381818181818182,0.5326530612244897
toxcast,6,auc,0.7268673355629878,0.6168831168831169
toxcast,7,auc,0.7527472527472527,0.572599531615925
toxcast,8,auc,0.576,0.5014144271570015
toxcast,9,auc,0.7402597402597403,0.6504065040650406
toxcast,10,auc,0.6388329979879276,0.5826923076923077
toxcast,11,auc,0.6580952380952381,0.6086124401913876
toxcast,12,auc,0.8690476190476191,0.45645161290322583
toxcast,13,auc,0.49938574938574937,0.45483193277310924
toxcast,14,auc,0.7453703703703703,0.6442307692307693
toxcast,15,auc,0.7,0.6666666666666666
toxcast,16,auc,0.5657894736842105,0.5708762886597938
toxcast,17,auc,0.5761670761670762,0.5526315789473685
toxcast,18,auc,0.7566964285714286,0.5509020618556701
toxcast,19,auc,0.7290909090909091,0.5516455696202531
toxcast,20,auc,0.845679012345679,0.8252032520325203
toxcast,21,auc,0.8614457831325302,0.7086720867208672
toxcast,22,auc,0.5572289156626506,0.6417322834645669
toxcast,23,auc,0.6788218793828892,0.5694444444444444
toxcast,24,auc,0.652542372881356,0.4861111111111111
toxcast,25,auc,0.8295454545454546,0.7180851063829787
toxcast,26,auc,0.8575,0.539291217257319
toxcast,27,auc,0.6410256410256411,0.6842105263157895
toxcast,28,auc,0.7039800995024875,0.57001414427157
toxcast,29,auc,0.7184615384615385,0.6708206686930092
toxcast,30,auc,0.7185185185185186,0.35374149659863946
toxcast,31,auc,0.5046296296296297,0.4948717948717949
toxcast,32,auc,0.76171875,0.3672248803827751
toxcast,33,auc,0.8631578947368421,0.5858974358974359
toxcast,34,auc,0.6714285714285714,0.5143540669856459
toxcast,35,auc,0.7925925925925926,0.5382775119617225
toxcast,36,auc,0.4888888888888889,0.509009009009009
toxcast,37,auc,0.6928571428571428,0.5478468899521531
toxcast,38,auc,0.5703125,0.5444444444444444
toxcast,39,auc,0.6796875,0.5202702702702703
toxcast,40,auc,0.6984126984126984,0.4666666666666667
toxcast,41,auc,1.0,0.4786821705426357
toxcast,42,auc,0.6947368421052632,0.49224806201550386
toxcast,43,auc,0.5909090909090909,0.4673913043478261
toxcast,44,auc,0.5,0.36666666666666664
toxcast,45,auc,0.8612244897959184,0.5085685483870968
toxcast,46,auc,0.6207236842105263,0.5823115432053979
toxcast,47,auc,0.651269035532995,0.5179137898861728
toxcast,48,auc,0.7839622641509434,0.6437007874015748
toxcast,49,auc,0.5516431924882629,0.38779527559055116
toxcast,50,auc,0.9688473520249221,0.603585657370518
toxcast,51,auc,0.6628959276018099,0.5187679597701149
toxcast,52,auc,0.7362055933484505,0.6929126213592233
toxcast,53,auc,0.6211124401913876,0.7423235201012979
toxcast,54,auc,0.6052722858133889,0.7025478268535661
toxcast,55,auc,0.6431623931623932,0.732826843937955
toxcast,56,auc,0.5023474178403756,0.5219123505976095
toxcast,57,auc,0.7491203377902885,0.5771857923497268
toxcast,58,auc,0.6252860411899314,0.5989795918367347
toxcast,59,auc,0.6679245283018868,0.6857707509881423
toxcast,60,auc,0.686264308012487,0.7086160423831211
toxcast,61,auc,0.5847826086956521,0.54
toxcast,62,auc,0.6325561312607945,0.6246929541047188
toxcast,63,auc,0.641190742814483,0.6215404419652435
toxcast,64,auc,0.8238095238095238,0.5128968253968254
toxcast,65,auc,0.6501650165016502,0.5186991869918699
toxcast,66,auc,0.6635449184876865,0.6757532281205165
toxcast,67,auc,0.5670731707317073,0.6050410837219632
toxcast,68,auc,0.6911532385466035,0.7311507936507936
toxcast,69,auc,0.709365889212828,0.6472191528545119
toxcast,70,auc,0.7583819241982507,0.5938588160810383
toxcast,71,auc,0.6296898720451095,0.5581219806763285
toxcast,72,auc,0.5293427230046949,0.30318725099601596
toxcast,73,auc,0.43018867924528303,0.9822834645669292
toxcast,74,auc,nan,0.9372549019607843
toxcast,75,auc,0.718397997496871,0.6490275893260968
toxcast,76,auc,0.6174991328477281,0.6006898086337339
toxcast,77,auc,0.7077991452991453,0.6347560975609756
toxcast,78,auc,0.6572301967038809,0.5831103678929765
toxcast,79,auc,0.6090342679127726,0.9490196078431372
toxcast,80,auc,0.793719806763285,0.6318725099601593
toxcast,81,auc,0.7476415094339622,0.5933333333333334
toxcast,82,auc,0.5165876777251185,0.5643784153005464
toxcast,83,auc,0.6521452145214521,0.5136554621848739
toxcast,84,auc,0.784433962264151,0.7764705882352941
toxcast,85,auc,0.6143617021276596,0.5045226130653266
toxcast,86,auc,0.7140096618357488,0.49573283858998146
toxcast,87,auc,0.5920221169036335,0.7775590551181102
toxcast,88,auc,0.5868544600938967,0.3702239789196311
toxcast,89,auc,0.6393034825870647,0.46707459207459207
toxcast,90,auc,0.7224422442244225,0.6010416666666667
toxcast,91,auc,0.5837282780410743,0.751004016064257
toxcast,92,auc,0.7976744186046512,0.5580357142857143
toxcast,93,auc,0.707345971563981,0.7920866935483871
toxcast,94,auc,0.6616819141449684,0.47674132414472065
toxcast,95,auc,0.6258241758241758,0.554228855721393
toxcast,96,auc,0.704225352112676,0.5681274900398406
toxcast,97,auc,0.5511627906976744,0.5505952380952381
toxcast,98,auc,0.7733892321270962,0.618195564516129
toxcast,99,auc,0.7582159624413145,0.4927536231884058
toxcast,100,auc,0.6611374407582938,0.7207317073170731
toxcast,101,auc,0.5606606606606607,0.5912840136054421
toxcast,102,auc,0.6184684684684685,0.5351010101010101
toxcast,103,auc,0.6230529595015576,0.6430426716141002
toxcast,104,auc,0.693006993006993,0.6177295918367347
toxcast,105,auc,0.6103773584905661,nan
toxcast,106,auc,0.6561320754716982,0.5347782258064516
toxcast,107,auc,0.6489795918367347,0.5594262295081968
toxcast,108,auc,0.7372093023255814,0.5176470588235295
toxcast,109,auc,0.744131455399061,0.5491803278688525
toxcast,110,auc,0.6703441295546558,0.6357074417119132
