task,task_type,metric,feature_mode,fingerprint,n_targets,n_train,n_valid,n_test,n_feature_failures,n_anchors,valid,test,elapsed_sec
bbbp,classification,auc,tanimoto,MACCS,1,1631,204,204,0,96,0.9426466195359953,0.6630979938271605,0.767
bace,classification,auc,tanimoto,MACCS,1,1210,151,152,0,96,0.6943223443223443,0.7640410363415058,0.596
clintox,classification,auc,tanimoto,MACCS,2,1182,148,148,0,96,0.9166494303818248,0.6157178604942133,0.687
tox21,classification,auc,tanimoto,MACCS,12,6264,783,784,0,96,0.7366304282102617,0.6982785441062429,3.578
toxcast,classification,auc,tanimoto,MACCS,617,6860,858,858,0,96,0.7013400231439869,0.5835144829572554,67.275
sider,classification,auc,tanimoto,MACCS,27,1141,143,143,0,96,0.6376340430157946,0.6205111370330281,3.495
hiv,classification,auc,tanimoto,MACCS,1,32901,4113,4113,0,96,0.661870162159514,0.6839220533420884,13.148
muv,classification,auc,tanimoto,MACCS,17,74469,9309,9309,0,96,0.8230847609326499,0.643750310583822,28.554
esol,regression,rmse,tanimoto,MACCS,1,902,113,113,0,96,1.6880814738583991,1.596210948071176,0.297
freesolv,regression,rmse,tanimoto,MACCS,1,513,64,65,0,96,4.734849678859046,3.0428439665190186,0.143
lipo,regression,rmse,tanimoto,MACCS,1,3360,420,420,0,96,1.1498244148566514,1.0713684953109217,1.354
qm7dft,regression,mae,tanimoto,MACCS,1,5464,685,681,0,96,123.91909649103154,124.33518190999943,0.923
qm8dft,regression,mae,tanimoto,MACCS,12,17428,2179,2179,0,96,0.026630266420433785,0.028336796036253994,4.881
qm9dft,regression,mae,tanimoto,MACCS,3,107108,13388,13389,0,96,0.020145424396748424,0.022552853760014268,20.026
