task,benchmark,task_type,metric,mean_test,sd_test,n_runs
bbbp,BBBP,classification,auc,0.6751736111111111,0.0063060561299692845,5
bace,BACE,classification,auc,0.7999130585985046,0.008375214619739793,5
clintox,ClinTox,classification,auc,0.8163746394188997,0.052706111883249425,5
tox21,Tox21,classification,auc,0.6821155748583435,0.007112502802022965,5
toxcast,ToxCast,classification,auc,0.5772278457245316,0.0050343782123315525,5
sider,SIDER,classification,auc,0.6158892208782516,0.008491154191572526,5
hiv,HIV,classification,auc,0.7197473879371946,0.01623354074299433,5
muv,MUV,classification,auc,0.6414810801691825,0.031003973233599373,5
esol,ESOL,regression,rmse,1.7861830562337275,0.06397090687639811,5
freesolv,FreeSolv,regression,rmse,3.4004066743328236,0.03158186436183096,5
lipo,Lipo,regression,rmse,1.0450163059151656,0.008396819561034004,5
qm7dft,QM7,regression,mae,129.15596549020762,5.825005953114608,5
qm8dft,QM8,regression,mae,0.026315905643392357,0.00017695299785244552,5
qm9dft,QM9,regression,mae,0.017040974547907463,0.0006208310019093685,5
