task,task_type,metric,feature_mode,fingerprint,n_targets,n_train,n_valid,n_test,n_feature_failures,n_anchors,valid,test,elapsed_sec,config_id,seed
bbbp,classification,auc,tanimoto,FP4,1,1631,204,204,0,128,0.9344817285671612,0.6707175925925926,1.068,t10,42
bace,classification,auc,tanimoto,FP4,1,1210,151,152,0,128,0.7042124542124543,0.796904886106764,1.084,t10,42
clintox,classification,auc,tanimoto,FP4,2,1182,148,148,0,128,0.931559637545553,0.8622163139053973,1.126,t10,42
tox21,classification,auc,tanimoto,FP4,12,6264,783,784,0,128,0.7233045113884408,0.6881915390091119,5.362,t10,42
toxcast,classification,auc,tanimoto,FP4,617,6860,858,858,0,128,0.6892965993740032,0.5759990923121567,78.285,t10,42
sider,classification,auc,tanimoto,FP4,27,1141,143,143,0,128,0.632055042901297,0.6185308655711536,5.127,t10,42
hiv,classification,auc,tanimoto,FP4,1,32901,4113,4113,0,128,0.7001166593180482,0.7345506865717762,19.099,t10,42
muv,classification,auc,tanimoto,FP4,17,74469,9309,9309,0,128,0.7603266816053297,0.6705684742447224,43.752,t10,42
esol,regression,rmse,tanimoto,FP4,1,902,113,113,0,128,1.68975505660548,1.8392308477887493,0.407,t10,42
freesolv,regression,rmse,tanimoto,FP4,1,513,64,65,0,128,5.855022739700347,3.3941206686179495,0.194,t10,42
lipo,regression,rmse,tanimoto,FP4,1,3360,420,420,0,128,1.1068053979941037,1.036790753580032,2.153,t10,42
qm7dft,regression,mae,tanimoto,FP4,1,5464,685,681,0,128,135.07805357152344,136.94624412378653,1.366,t10,42
qm8dft,regression,mae,tanimoto,FP4,12,17428,2179,2179,0,128,0.02408041450311201,0.026084056378316386,7.379,t10,42
qm9dft,regression,mae,tanimoto,FP4,3,107108,13388,13389,0,128,0.014384720278862879,0.01678241886121096,30.606,t10,42
bbbp,classification,auc,tanimoto,FP4,1,1631,204,204,0,128,0.9328885791098277,0.6858121141975309,1.163,t10,43
bace,classification,auc,tanimoto,FP4,1,1210,151,152,0,128,0.7254578754578754,0.7984698313336811,1.057,t10,43
clintox,classification,auc,tanimoto,FP4,2,1182,148,148,0,128,0.9754013592041761,0.8550967921315122,1.011,t10,43
tox21,classification,auc,tanimoto,FP4,12,6264,783,784,0,128,0.7302407756406645,0.671628845365157,5.348,t10,43
toxcast,classification,auc,tanimoto,FP4,617,6860,858,858,0,128,0.6848581171853465,0.5734728121628069,82.17,t10,43
sider,classification,auc,tanimoto,FP4,27,1141,143,143,0,128,0.6374441113031705,0.607083294748165,5.888,t10,43
hiv,classification,auc,tanimoto,FP4,1,32901,4113,4113,0,128,0.7446799064275916,0.7211823326058827,19.649,t10,43
