task,target_index,metric,valid,test,config_id,seed
bbbp,0,auc,0.9383650303694115,0.671923225308642,t10,46
bace,0,auc,0.6763736263736264,0.7882976873587202,t10,46
clintox,0,auc,0.9734265734265735,0.8449240607513989,t10,46
clintox,1,auc,0.9706572769953051,0.8405797101449275,t10,46
tox21,0,auc,0.7822809374533513,0.7752031019202363,t10,46
tox21,1,auc,0.8033887043189368,0.8561622940817571,t10,46
tox21,2,auc,0.7741065193931315,0.7499049590267804,t10,46
tox21,3,auc,0.808380457958654,0.6857358380377653,t10,46
tox21,4,auc,0.6654183412495432,0.5812855220889047,t10,46
tox21,5,auc,0.7364451476793249,0.6475899430476455,t10,46
tox21,6,auc,0.7207570207570207,0.65625,t10,46
tox21,7,auc,0.6590342679127725,0.6357252604791856,t10,46
tox21,8,auc,0.6285488958990536,0.6264064697609001,t10,46
tox21,9,auc,0.7093531468531469,0.6071726612701327,t10,46
tox21,10,auc,0.7145801976310451,0.6696623906125696,t10,46
tox21,11,auc,0.6353890824622532,0.6783909231562661,t10,46
toxcast,0,auc,0.6651315789473684,0.6226652298850575,t10,46
toxcast,1,auc,0.6141199226305609,0.4800233304170312,t10,46
toxcast,2,auc,0.5628772635814889,0.44166666666666665,t10,46
toxcast,3,auc,0.5833333333333334,0.592140921409214,t10,46
toxcast,4,auc,0.583732057416268,0.5044191919191919,t10,46
toxcast,5,auc,0.6387878787878788,0.49668367346938774,t10,46
toxcast,6,auc,0.5613154960981048,0.5434565434565435,t10,46
toxcast,7,auc,0.7216117216117216,0.6370023419203747,t10,46
toxcast,8,auc,0.4693333333333333,0.4695898161244696,t10,46
toxcast,9,auc,0.5275974025974026,0.6307588075880759,t10,46
toxcast,10,auc,0.6800804828973843,0.5884615384615385,t10,46
toxcast,11,auc,0.700952380952381,0.6377990430622009,t10,46
toxcast,12,auc,0.6428571428571429,0.5790322580645161,t10,46
toxcast,13,auc,0.6904176904176904,0.5766806722689075,t10,46
toxcast,14,auc,0.7530864197530864,0.45726495726495725,t10,46
toxcast,15,auc,0.6125,0.5884353741496599,t10,46
toxcast,16,auc,0.5765550239234449,0.6018041237113402,t10,46
toxcast,17,auc,0.504914004914005,0.43333333333333335,t10,46
toxcast,18,auc,0.7232142857142857,0.48131443298969073,t10,46
toxcast,19,auc,0.6454545454545455,0.5835443037974684,t10,46
toxcast,20,auc,0.9845679012345679,0.6029810298102981,t10,46
toxcast,21,auc,0.6325301204819277,0.46815718157181574,t10,46
toxcast,22,auc,0.8072289156626506,0.26968503937007876,t10,46
toxcast,23,auc,0.7349228611500701,0.5849116161616161,t10,46
toxcast,24,auc,0.6349413298565841,0.5202380952380953,t10,46
toxcast,25,auc,0.7045454545454546,0.648936170212766,t10,46
toxcast,26,auc,0.7725,0.4776579352850539,t10,46
toxcast,27,auc,0.7061965811965812,0.6492822966507177,t10,46
toxcast,28,auc,0.6741293532338308,0.5364214992927864,t10,46
toxcast,29,auc,0.65,0.5416413373860183,t10,46
toxcast,30,auc,0.7925925925925926,0.42857142857142855,t10,46
toxcast,31,auc,0.7037037037037037,0.7051282051282052,t10,46
toxcast,32,auc,0.796875,0.5239234449760766,t10,46
toxcast,33,auc,0.7368421052631579,0.4358974358974359,t10,46
toxcast,34,auc,0.7928571428571428,0.8157894736842105,t10,46
toxcast,35,auc,0.762962962962963,0.5933014354066986,t10,46
toxcast,36,auc,0.7407407407407407,0.47297297297297297,t10,46
toxcast,37,auc,0.7357142857142858,0.5765550239234449,t10,46
toxcast,38,auc,0.5625,0.7944444444444444,t10,46
toxcast,39,auc,0.6953125,0.4380630630630631,t10,46
toxcast,40,auc,0.8888888888888888,0.5083333333333333,t10,46
toxcast,41,auc,0.9090909090909091,0.5891472868217055,t10,46
toxcast,42,auc,0.6947368421052632,0.5736434108527132,t10,46
toxcast,43,auc,0.7272727272727273,0.7391304347826086,t10,46
toxcast,44,auc,0.63125,0.38055555555555554,t10,46
toxcast,45,auc,0.5357142857142857,0.3795362903225806,t10,46
toxcast,46,auc,0.6779057017543859,0.5566277298120873,t10,46
toxcast,47,auc,0.6661167512690356,0.508303788020153,t10,46
toxcast,48,auc,0.8716981132075472,0.5590551181102362,t10,46
toxcast,49,auc,0.39906103286384975,0.35039370078740156,t10,46
toxcast,50,auc,0.8489096573208723,0.8418326693227092,t10,46
toxcast,51,auc,0.7305806938159879,0.5862966954022989,t10,46
toxcast,52,auc,0.7208994708994709,0.7214563106796117,t10,46
toxcast,53,auc,0.6546052631578947,0.7087685976574866,t10,46
toxcast,54,auc,0.663024627124523,0.6075112404125893,t10,46
toxcast,55,auc,0.5592948717948718,0.713516935739158,t10,46
toxcast,56,auc,0.5751173708920188,0.44860557768924303,t10,46
toxcast,57,auc,0.6104855735397607,0.4948770491803279,t10,46
toxcast,58,auc,0.6107932875667429,0.6258078231292517,t10,46
toxcast,59,auc,0.7556603773584906,0.8590250329380764,t10,46
toxcast,60,auc,0.714446756850503,0.6120922018774979,t10,46
toxcast,61,auc,0.7077294685990339,0.6176666666666667,t10,46
toxcast,62,auc,0.6230569948186528,0.5566903684550744,t10,46
toxcast,63,auc,0.6386711459499813,0.6742115425874275,t10,46
toxcast,64,auc,0.8095238095238095,0.5753968253968254,t10,46
toxcast,65,auc,0.6386138613861386,0.5170731707317073,t10,46
toxcast,66,auc,0.6799340964273326,0.660545193687231,t10,46
toxcast,67,auc,0.6077235772357723,0.4964468132356207,t10,46
toxcast,68,auc,0.8625592417061612,0.6691468253968254,t10,46
toxcast,69,auc,0.6532434402332361,0.6448987108655617,t10,46
toxcast,70,auc,0.6935131195335277,0.4946185501741057,t10,46
toxcast,71,auc,0.5980264584688788,0.550384963768116,t10,46
toxcast,72,auc,0.5645539906103286,0.4250996015936255,t10,46
toxcast,73,auc,0.7900943396226415,0.9448818897637795,t10,46
toxcast,74,auc,nan,0.5588235294117647,t10,46
toxcast,75,auc,0.7138297872340426,0.6436906377204885,t10,46
toxcast,76,auc,0.6138570933055845,0.5668669336893636,t10,46
toxcast,77,auc,0.6450320512820513,0.5103658536585366,t10,46
toxcast,78,auc,0.562200956937799,0.5100334448160535,t10,46
toxcast,79,auc,0.7242990654205608,0.5843137254901961,t10,46
toxcast,80,auc,0.6239130434782608,0.6302788844621514,t10,46
toxcast,81,auc,0.5108490566037736,0.5133333333333333,t10,46
toxcast,82,auc,0.6571879936808847,0.4755806010928962,t10,46
toxcast,83,auc,0.49686468646864684,0.5493697478991597,t10,46
toxcast,84,auc,0.7665094339622641,0.3215686274509804,t10,46
toxcast,85,auc,0.6808510638297872,0.4690954773869347,t10,46
toxcast,86,auc,0.7524154589371981,0.5115027829313543,t10,46
toxcast,87,auc,0.5489731437598736,0.5118110236220472,t10,46
toxcast,88,auc,0.8139671361502347,0.6034255599472991,t10,46
toxcast,89,auc,0.7019589552238806,0.5876068376068376,t10,46
toxcast,90,auc,0.5511551155115512,0.5122395833333333,t10,46
toxcast,91,auc,0.6816745655608215,0.759609868043603,t10,46
toxcast,92,auc,0.44069767441860463,0.5213293650793651,t10,46
toxcast,93,auc,0.7657977883096366,0.8492943548387096,t10,46
toxcast,94,auc,0.7941590429275158,0.5882352941176471,t10,46
toxcast,95,auc,0.7127158555729984,0.5696517412935324,t10,46
toxcast,96,auc,0.306924882629108,0.5338645418326693,t10,46
toxcast,97,auc,0.24186046511627907,0.5,t10,46
toxcast,98,auc,0.6136363636363636,0.6340725806451613,t10,46
toxcast,99,auc,0.6161971830985915,0.6442687747035574,t10,46
toxcast,100,auc,0.7195892575039494,0.5760162601626017,t10,46
toxcast,101,auc,0.6973723723723724,0.5651785714285714,t10,46
toxcast,102,auc,0.6038288288288288,0.5515151515151515,t10,46
toxcast,103,auc,0.6666666666666666,0.6582560296846011,t10,46
toxcast,104,auc,0.7145687645687646,0.6095663265306123,t10,46
toxcast,105,auc,0.5726415094339623,nan,t10,46
toxcast,106,auc,0.6966981132075472,0.508820564516129,t10,46
toxcast,107,auc,0.4887755102040816,0.5887978142076503,t10,46
toxcast,108,auc,0.5488372093023256,0.9588235294117647,t10,46
toxcast,109,auc,0.6748826291079812,0.5278346994535519,t10,46
toxcast,110,auc,0.6580465587044534,0.6610986905142127,t10,46
toxcast,111,auc,0.6584905660377358,0.19607843137254902,t10,46
toxcast,112,auc,0.5777243589743589,0.5778227620332883,t10,46
toxcast,113,auc,0.555622009569378,0.47631048387096775,t10,46
toxcast,114,auc,0.9490740740740741,0.788235294117647,t10,46
toxcast,115,auc,0.5813397129186603,0.5434782608695652,t10,46
toxcast,116,auc,0.7661927330173776,0.7274900398406374,t10,46
toxcast,117,auc,0.7511737089201878,0.6577689243027889,t10,46
toxcast,118,auc,0.9558139534883721,0.27976190476190477,t10,46
toxcast,119,auc,0.5688679245283019,0.9352941176470588,t10,46
toxcast,120,auc,0.7639455782312925,0.453551912568306,t10,46
toxcast,121,auc,0.6707547169811321,0.5442231075697211,t10,46
toxcast,122,auc,0.5660377358490566,0.5,t10,46
toxcast,123,auc,0.5945273631840796,0.5980392156862745,t10,46
toxcast,124,auc,0.7296650717703349,0.7373333333333333,t10,46
toxcast,125,auc,0.7075962539021852,0.5297154017857143,t10,46
toxcast,126,auc,0.6645588235294118,0.5818852027382833,t10,46
toxcast,127,auc,0.6066176470588235,0.40899018676796456,t10,46
toxcast,128,auc,0.7011689291101055,0.65637245754805,t10,46
toxcast,129,auc,0.8317535545023697,0.5413855150697255,t10,46
toxcast,130,auc,0.5901360544217688,0.35968379446640314,t10,46
toxcast,131,auc,0.6755128205128205,0.6060662797228983,t10,46
toxcast,132,auc,0.6726415094339623,0.2075098814229249,t10,46
toxcast,133,auc,0.6361717100633357,0.5419452887537994,t10,46
toxcast,134,auc,0.6960093896713615,0.8188976377952756,t10,46
toxcast,135,auc,0.7281653746770026,0.6142712036566785,t10,46
toxcast,136,auc,1.0,0.7673611111111112,t10,46
toxcast,137,auc,0.6592234499693064,0.6737639553429027,t10,46
toxcast,138,auc,0.8092723004694836,0.5615079365079365,t10,46
toxcast,139,auc,0.6542232277526395,0.6340425531914894,t10,46
toxcast,140,auc,0.6149289099526066,0.5406374501992032,t10,46
toxcast,141,auc,0.6262793497892836,0.6783061848592649,t10,46
toxcast,142,auc,0.6398550724637682,0.45528756957328387,t10,46
toxcast,143,auc,0.6970427515268403,0.6827094474153298,t10,46
toxcast,144,auc,0.689792663476874,0.6220238095238095,t10,46
toxcast,145,auc,0.6600353669319187,0.7147569100864173,t10,46
toxcast,146,auc,0.772093023255814,0.35826771653543305,t10,46
toxcast,147,auc,0.6575889615105301,0.636706102117061,t10,46
toxcast,148,auc,0.6612612612612613,0.6235199355618204,t10,46
toxcast,149,auc,0.6494708994708994,0.701199200532978,t10,46
toxcast,150,auc,0.8528708133971292,0.5412256952990401,t10,46
toxcast,151,auc,0.6355882352941177,0.502734375,t10,46
toxcast,152,auc,0.7337209302325581,0.40278884462151393,t10,46
toxcast,153,auc,0.6721958925750395,0.5783333333333334,t10,46
toxcast,154,auc,0.8779904306220095,0.50157444894287,t10,46
toxcast,155,auc,0.8349056603773585,0.9568627450980393,t10,46
toxcast,156,auc,0.7142857142857143,0.6210149642160052,t10,46
toxcast,157,auc,0.7369565217391304,0.7438247011952192,t10,46
toxcast,158,auc,0.692367601246106,0.36429512516469037,t10,46
toxcast,159,auc,0.8255813953488372,0.38823529411764707,t10,46
toxcast,160,auc,0.4097222222222222,0.5452755905511811,t10,46
toxcast,161,auc,0.5344551282051282,0.7063492063492064,t10,46
toxcast,162,auc,0.6125592417061612,0.49933333333333335,t10,46
toxcast,163,auc,0.6773661041819515,0.6339233038348082,t10,46
toxcast,164,auc,0.534037558685446,0.41304347826086957,t10,46
toxcast,165,auc,0.7683257427889829,0.6720984020185029,t10,46
toxcast,166,auc,0.7059294871794872,0.4623376623376623,t10,46
toxcast,167,auc,0.8534883720930233,0.5976095617529881,t10,46
toxcast,168,auc,0.9606481481481481,0.5210803689064558,t10,46
toxcast,169,auc,0.699155524278677,0.5520833333333334,t10,46
toxcast,170,auc,nan,0.33662714097496704,t10,46
toxcast,171,auc,0.6873123123123123,0.6537702085647291,t10,46
toxcast,172,auc,0.6270933014354066,0.5534552845528455,t10,46
toxcast,173,auc,0.8252990851513019,0.6468579234972678,t10,46
toxcast,174,auc,0.6314553990610329,0.6318897637795275,t10,46
toxcast,175,auc,0.675668449197861,0.6803661616161616,t10,46
toxcast,176,auc,0.7067787703625854,0.6544564929912722,t10,46
toxcast,177,auc,0.8722741433021807,0.765748031496063,t10,46
toxcast,178,auc,0.6390550239234449,0.5632028789923527,t10,46
toxcast,179,auc,0.6001055594651654,0.5474164133738602,t10,46
toxcast,180,auc,0.6966824644549763,0.5418326693227091,t10,46
toxcast,181,auc,0.5575117370892019,0.506640625,t10,46
toxcast,182,auc,0.8068535825545171,nan,t10,46
toxcast,183,auc,0.6502873563218391,0.7266454026866221,t10,46
toxcast,184,auc,0.922093023255814,0.2952755905511811,t10,46
toxcast,185,auc,0.735202492211838,0.7546666666666667,t10,46
toxcast,186,auc,0.6645569620253164,0.6657407407407407,t10,46
toxcast,187,auc,0.7453703703703703,0.1830708661417323,t10,46
toxcast,188,auc,0.6285470310036784,0.6436204146730462,t10,46
toxcast,189,auc,0.7338603425559947,0.5834445927903872,t10,46
toxcast,190,auc,0.6896341463414634,0.5438898450946644,t10,46
toxcast,191,auc,0.6990330378726833,0.5296400846859562,t10,46
toxcast,192,auc,0.5968085106382979,0.5794681508967223,t10,46
toxcast,193,auc,0.6890343698854338,0.5880952380952381,t10,46
toxcast,194,auc,0.6427939876215738,0.528698752228164,t10,46
toxcast,195,auc,0.6043096872616324,0.49732620320855614,t10,46
toxcast,196,auc,0.6068840579710145,0.4919845218352681,t10,46
toxcast,197,auc,0.5984265734265735,0.5155380333951762,t10,46
toxcast,198,auc,0.6421356421356421,0.6004111321948135,t10,46
toxcast,199,auc,0.5485436893203883,0.7225738396624473,t10,46
toxcast,200,auc,0.5567010309278351,0.5048661800486618,t10,46
toxcast,201,auc,0.6266203703703703,0.49600672551492225,t10,46
toxcast,202,auc,0.8549019607843137,0.5789473684210527,t10,46
toxcast,203,auc,0.6900100401606426,0.5274109643857543,t10,46
toxcast,204,auc,0.5955598455598455,0.5723842195540308,t10,46
toxcast,205,auc,0.6527777777777778,0.5440705128205128,t10,46
toxcast,206,auc,0.605625,0.5094715852442672,t10,46
toxcast,207,auc,0.5819903303787268,0.5860544217687075,t10,46
toxcast,208,auc,0.6001984126984127,0.527891156462585,t10,46
toxcast,209,auc,0.8095238095238095,0.5120593692022264,t10,46
toxcast,210,auc,0.6971830985915493,0.5764144626715768,t10,46
toxcast,211,auc,0.6313667232597623,0.5948542024013722,t10,46
toxcast,212,auc,0.6264952153110048,0.5488235294117647,t10,46
toxcast,213,auc,0.5674872665534805,0.515686274509804,t10,46
toxcast,214,auc,0.4380952380952381,0.03773584905660377,t10,46
toxcast,215,auc,0.585625,0.5443894389438944,t10,46
toxcast,216,auc,0.6360645933014354,0.5875405280222326,t10,46
toxcast,217,auc,0.6492747784045125,0.6040931545518702,t10,46
toxcast,218,auc,0.5357142857142857,0.5429645542427497,t10,46
