task,task_type,metric,feature_mode,fingerprint,n_targets,n_train,n_valid,n_test,n_feature_failures,n_anchors,valid,test,elapsed_sec,config_id,seed
bbbp,classification,auc,tanimoto,FP4,1,1631,204,204,0,96,0.9413521856019118,0.6807002314814815,1.061,t04,42
bace,classification,auc,tanimoto,FP4,1,1210,151,152,0,96,0.7194139194139194,0.7922100504260129,0.964,t04,42
clintox,classification,auc,tanimoto,FP4,2,1182,148,148,0,96,0.942734495551397,0.8287891425989643,0.979,t04,42
tox21,classification,auc,tanimoto,FP4,12,6264,783,784,0,96,0.7136221366875523,0.6864334999442732,4.642,t04,42
toxcast,classification,auc,tanimoto,FP4,617,6860,858,858,0,96,0.6895176456772438,0.574823794642636,58.618,t04,42
sider,classification,auc,tanimoto,FP4,27,1141,143,143,0,96,0.6460047056099866,0.6056122119619292,4.006,t04,42
hiv,classification,auc,tanimoto,FP4,1,32901,4113,4113,0,96,0.6940586419753086,0.7076845825527723,18.458,t04,42
muv,classification,auc,tanimoto,FP4,17,74469,9309,9309,0,96,0.7711585067082377,0.6606368259935955,42.718,t04,42
esol,regression,rmse,tanimoto,FP4,1,902,113,113,0,96,1.69077911080672,1.8199895995323807,0.349,t04,42
freesolv,regression,rmse,tanimoto,FP4,1,513,64,65,0,96,5.685408730577507,3.3079368291835656,0.169,t04,42
lipo,regression,rmse,tanimoto,FP4,1,3360,420,420,0,96,1.1159134286742787,1.0580597542846033,2.039,t04,42
qm7dft,regression,mae,tanimoto,FP4,1,5464,685,681,0,96,134.91821034815376,131.86909747762724,1.284,t04,42
qm8dft,regression,mae,tanimoto,FP4,12,17428,2179,2179,0,96,0.02422578955330153,0.026401155001579676,6.041,t04,42
qm9dft,regression,mae,tanimoto,FP4,3,107108,13388,13389,0,96,0.014808855893643719,0.017362274894702597,28.792,t04,42
