task,target_index,metric,valid,test,config_id,seed
bbbp,0,auc,0.9290052773075774,0.6710551697530864,t06,42
bace,0,auc,0.7311355311355311,0.8021213701964875,t06,42
clintox,0,auc,0.9398601398601398,0.7737809752198241,t06,42
clintox,1,auc,0.9225352112676056,0.8543478260869565,t06,42
tox21,0,auc,0.7775787430959845,0.6894387001477105,t06,42
tox21,1,auc,0.772358803986711,0.8193258084197681,t06,42
tox21,2,auc,0.7678114221629743,0.7811100785672045,t06,42
tox21,3,auc,0.7805923797163252,0.7067597819739148,t06,42
tox21,4,auc,0.6846151504079893,0.5928447873479586,t06,42
tox21,5,auc,0.790506329113924,0.6318933185164606,t06,42
tox21,6,auc,0.7557997557997558,0.6567513368983957,t06,42
tox21,7,auc,0.615134994807892,0.6400945887549815,t06,42
tox21,8,auc,0.6579198929356658,0.5570499296765119,t06,42
tox21,9,auc,0.7159527972027973,0.5934657431361094,t06,42
tox21,10,auc,0.7124970006325938,0.6663807677008751,t06,42
tox21,11,auc,0.6577816492450639,0.660881897885508,t06,42
toxcast,0,auc,0.6111842105263158,0.6007543103448276,t06,42
toxcast,1,auc,0.7040618955512572,0.5067074948964713,t06,42
toxcast,2,auc,0.5885311871227364,0.4876984126984127,t06,42
toxcast,3,auc,0.5345528455284553,0.4349593495934959,t06,42
toxcast,4,auc,0.6275917065390749,0.5059974747474747,t06,42
toxcast,5,auc,0.6272727272727273,0.5502551020408163,t06,42
toxcast,6,auc,0.4955406911928651,0.5891608391608392,t06,42
toxcast,7,auc,0.7380952380952381,0.41451990632318503,t06,42
toxcast,8,auc,0.7013333333333334,0.4306930693069307,t06,42
toxcast,9,auc,0.6444805194805194,0.43970189701897017,t06,42
toxcast,10,auc,0.7152917505030181,0.5507692307692308,t06,42
toxcast,11,auc,0.7085714285714285,0.6545454545454545,t06,42
toxcast,12,auc,0.6785714285714286,0.6395161290322581,t06,42
toxcast,13,auc,0.6142506142506142,0.4543067226890756,t06,42
toxcast,14,auc,0.6172839506172839,0.38461538461538464,t06,42
toxcast,15,auc,0.8,0.6700680272108843,t06,42
toxcast,16,auc,0.682615629984051,0.6362757731958762,t06,42
toxcast,17,auc,0.601965601965602,0.5210526315789473,t06,42
toxcast,18,auc,0.7418154761904762,0.5196520618556701,t06,42
toxcast,19,auc,0.6266666666666667,0.610632911392405,t06,42
toxcast,20,auc,0.9320987654320988,0.5501355013550135,t06,42
toxcast,21,auc,0.6506024096385542,0.481029810298103,t06,42
toxcast,22,auc,0.6987951807228916,0.37401574803149606,t06,42
toxcast,23,auc,0.6956521739130435,0.5577651515151515,t06,42
toxcast,24,auc,0.636897001303781,0.5526455026455026,t06,42
toxcast,25,auc,0.8409090909090909,0.723404255319149,t06,42
toxcast,26,auc,0.88,0.5982280431432974,t06,42
toxcast,27,auc,0.6875,0.5526315789473685,t06,42
toxcast,28,auc,0.6533996683250415,0.5742574257425742,t06,42
toxcast,29,auc,0.6169230769230769,0.5793313069908814,t06,42
toxcast,30,auc,0.7962962962962963,0.3707482993197279,t06,42
toxcast,31,auc,0.6944444444444444,0.5192307692307693,t06,42
toxcast,32,auc,0.8125,0.5370813397129187,t06,42
toxcast,33,auc,0.8421052631578947,0.4,t06,42
toxcast,34,auc,0.8071428571428572,0.5311004784688995,t06,42
toxcast,35,auc,0.7851851851851852,0.5885167464114832,t06,42
toxcast,36,auc,0.7037037037037037,0.5146396396396397,t06,42
toxcast,37,auc,0.7714285714285715,0.5669856459330144,t06,42
toxcast,38,auc,0.578125,0.5555555555555556,t06,42
toxcast,39,auc,0.7421875,0.3108108108108108,t06,42
toxcast,40,auc,0.7142857142857143,0.3472222222222222,t06,42
toxcast,41,auc,0.9090909090909091,0.3507751937984496,t06,42
toxcast,42,auc,0.8631578947368421,0.49612403100775193,t06,42
toxcast,43,auc,0.7954545454545454,0.8659420289855072,t06,42
toxcast,44,auc,0.7125,0.40555555555555556,t06,42
toxcast,45,auc,0.5268707482993197,0.39818548387096775,t06,42
toxcast,46,auc,0.640734649122807,0.5276790248857288,t06,42
toxcast,47,auc,0.6887055837563452,0.5336816570255645,t06,42
toxcast,48,auc,0.7471698113207547,0.6584645669291339,t06,42
toxcast,49,auc,0.67018779342723,0.08858267716535433,t06,42
toxcast,50,auc,0.9719626168224299,0.6087649402390438,t06,42
toxcast,51,auc,0.697209653092006,0.5426544540229885,t06,42
toxcast,52,auc,0.6961451247165533,0.6876699029126213,t06,42
toxcast,53,auc,0.7449162679425837,0.7230136119025008,t06,42
toxcast,54,auc,0.692854665279223,0.6116547650533368,t06,42
toxcast,55,auc,0.6017628205128205,0.7095599873377652,t06,42
toxcast,56,auc,0.5692488262910798,0.41752988047808764,t06,42
toxcast,57,auc,0.6379310344827587,0.4525273224043716,t06,42
toxcast,58,auc,0.59744469870328,0.5366921768707483,t06,42
toxcast,59,auc,0.7481132075471698,0.8300395256916996,t06,42
toxcast,60,auc,0.7255463059313215,0.6606097220931313,t06,42
toxcast,61,auc,0.7673913043478261,0.45466666666666666,t06,42
toxcast,62,auc,0.6409758203799655,0.6093083387201034,t06,42
toxcast,63,auc,0.5694288913773796,0.6022670385468069,t06,42
toxcast,64,auc,0.5782312925170068,0.6468253968253969,t06,42
toxcast,65,auc,0.6471947194719472,0.5158536585365854,t06,42
toxcast,66,auc,0.6417793964620188,0.597608799617408,t06,42
toxcast,67,auc,0.4863821138211382,0.6897623806351322,t06,42
toxcast,68,auc,0.8317535545023697,0.7415674603174603,t06,42
toxcast,69,auc,0.6487487852283771,0.6201473296500921,t06,42
toxcast,70,auc,0.6417638483965015,0.4851218740107629,t06,42
toxcast,71,auc,0.5879960962914769,0.6095637077294686,t06,42
toxcast,72,auc,0.5551643192488263,0.648207171314741,t06,42
toxcast,73,auc,0.7183962264150944,0.7421259842519685,t06,42
toxcast,74,auc,nan,0.8960784313725491,t06,42
toxcast,75,auc,0.694180225281602,0.7082767978290366,t06,42
toxcast,76,auc,0.5964273326396116,0.5011125945705385,t06,42
toxcast,77,auc,0.5323183760683761,0.6473577235772358,t06,42
toxcast,78,auc,0.662147793726741,0.48202341137123744,t06,42
toxcast,79,auc,0.6542056074766355,0.8941176470588236,t06,42
toxcast,80,auc,0.635024154589372,0.5713147410358566,t06,42
toxcast,81,auc,0.4410377358490566,0.5866666666666667,t06,42
toxcast,82,auc,0.5951816745655608,0.6050204918032787,t06,42
toxcast,83,auc,0.5861386138613861,0.4461951447245565,t06,42
toxcast,84,auc,0.894811320754717,0.6862745098039216,t06,42
toxcast,85,auc,0.6924867021276596,0.785175879396985,t06,42
toxcast,86,auc,0.6572463768115943,0.44823747680890536,t06,42
toxcast,87,auc,0.6611374407582938,0.21850393700787402,t06,42
toxcast,88,auc,0.6725352112676056,0.33992094861660077,t06,42
toxcast,89,auc,0.6727300995024875,0.540986790986791,t06,42
toxcast,90,auc,0.5702970297029702,0.525,t06,42
toxcast,91,auc,0.6595576619273301,0.6873207114170969,t06,42
toxcast,92,auc,0.43488372093023253,0.6081349206349206,t06,42
toxcast,93,auc,0.6398104265402843,0.8886088709677419,t06,42
toxcast,94,auc,0.776917663617171,0.6103864139798179,t06,42
toxcast,95,auc,0.623861852433281,0.606558118498417,t06,42
toxcast,96,auc,0.67018779342723,0.4294820717131474,t06,42
toxcast,97,auc,0.4627906976744186,0.8571428571428571,t06,42
toxcast,98,auc,0.751323918799647,0.6068548387096774,t06,42
toxcast,99,auc,0.6825117370892019,0.6073781291172595,t06,42
toxcast,100,auc,0.8692733017377567,0.5605691056910569,t06,42
toxcast,101,auc,0.6218468468468469,0.51203231292517,t06,42
toxcast,102,auc,0.5237987987987988,0.6224116161616161,t06,42
toxcast,103,auc,0.6152647975077882,0.5738404452690167,t06,42
toxcast,104,auc,0.6515151515151515,0.5694302721088436,t06,42
toxcast,105,auc,0.6688679245283019,nan,t06,42
toxcast,106,auc,0.5216981132075472,0.508820564516129,t06,42
toxcast,107,auc,0.7,0.6188524590163934,t06,42
toxcast,108,auc,0.4383720930232558,0.9254901960784314,t06,42
toxcast,109,auc,0.6654929577464789,0.4931693989071038,t06,42
toxcast,110,auc,0.6386133603238866,0.6420632385819227,t06,42
toxcast,111,auc,0.4981132075471698,0.5254901960784314,t06,42
toxcast,112,auc,0.5480769230769231,0.49572649572649574,t06,42
toxcast,113,auc,0.6746411483253588,0.3180443548387097,t06,42
toxcast,114,auc,0.7546296296296297,0.3803921568627451,t06,42
toxcast,115,auc,0.6088516746411483,0.4598155467720685,t06,42
toxcast,116,auc,0.7661927330173776,0.7394422310756972,t06,42
