config_id,fingerprint,feature_mode,seed,n_anchors,iterations,depth,learning_rate,l2_leaf_reg,within_range_count,mean_normalized_score,mean_norm_classification,mean_norm_regression,elapsed_sec_total
t01,FP4,tanimoto,42,64,60,4,0.1,3.0,7,-0.2118217836384403,-0.06572762421749152,-0.40661399619970534,133.308
t02,FP4,tanimoto,42,96,70,5,0.09,3.5,7,-0.13071223670675577,0.012462742698268914,-0.3216122092467887,1090.067
t03,FP4,tanimoto,42,128,70,5,0.09,3.5,7,-0.0964139705167732,0.05751324826795121,-0.30165026222973906,167.41
t04,FP4,tanimoto,42,96,90,5,0.08,4.0,7,-0.11479879094147556,0.024666485595496897,-0.30075249299077217,170.121
t05,FP4,tanimoto,42,128,90,5,0.08,4.0,7,-0.08970637041631915,0.07543687180478,-0.30989736004445134,181.214
t06,FP4,tanimoto,42,64,90,5,0.08,4.0,8,-0.15869840870474783,-0.011153568279884455,-0.35542486260456563,149.584
t07,FP4,tanimoto,42,96,110,5,0.07,5.0,8,-0.09599105896639677,0.05319880806684386,-0.2949108816773843,167.625
t08,FP4,tanimoto,42,128,110,5,0.07,5.0,7,-0.0819427259979509,0.09319415407366254,-0.3154585660934355,186.664
t09,FP4,tanimoto,42,96,130,5,0.06,6.0,7,-0.10339620785513477,0.04377850252891993,-0.2996291550338744,169.739
t10,FP4,tanimoto,42,128,130,5,0.06,6.0,7,-0.077273219956812,0.08776412413948341,-0.29732301208520584,186.74
t11,FP4,tanimoto,42,80,100,4,0.08,4.5,7,-0.2336006199963436,-0.1377216460764143,-0.3614392518895827,144.057
t12,FP4,tanimoto,42,112,100,4,0.08,4.5,8,-0.125757162233547,0.027012007127582265,-0.32944938804838597,153.312
