task,task_type,metric,feature_mode,fingerprint,n_targets,n_train,n_valid,n_test,n_feature_failures,n_anchors,valid,test,elapsed_sec,config_id,seed,benchmark
bbbp,classification,auc,tanimoto,FP4,1,1631,204,204,0,64,0.9322911480633277,0.677710262345679,1.083,t01,42,BBBP
bace,classification,auc,tanimoto,FP4,1,1210,151,152,0,64,0.7014652014652014,0.790471222396105,0.906,t01,42,BACE
clintox,classification,auc,tanimoto,FP4,2,1182,148,148,0,64,0.9440592271578188,0.7930577277308588,0.855,t01,42,ClinTox
tox21,classification,auc,tanimoto,FP4,12,6264,783,784,0,64,0.6984001720352951,0.6650863517569505,3.595,t01,42,Tox21
toxcast,classification,auc,tanimoto,FP4,617,6860,858,858,0,64,0.6806360111849717,0.5815016156112084,30.107,t01,42,ToxCast
sider,classification,auc,tanimoto,FP4,27,1141,143,143,0,64,0.6293315678928876,0.6032669170458038,2.374,t01,42,SIDER
hiv,classification,auc,tanimoto,FP4,1,32901,4113,4113,0,64,0.6569817999216148,0.6700815002220978,18.339,t01,42,HIV
muv,classification,auc,tanimoto,FP4,17,74469,9309,9309,0,64,0.7936417062717827,0.6598577080411125,40.759,t01,42,MUV
esol,regression,rmse,tanimoto,FP4,1,902,113,113,0,64,1.699326041799959,1.8789501704264369,0.305,t01,42,ESOL
freesolv,regression,rmse,tanimoto,FP4,1,513,64,65,0,64,5.860364413290676,3.4337913342084163,0.136,t01,42,FreeSolv
lipo,regression,rmse,tanimoto,FP4,1,3360,420,420,0,64,1.1382222051020987,1.05931250119399,1.939,t01,42,Lipo
qm7dft,regression,mae,tanimoto,FP4,1,5464,685,681,0,64,134.009692391205,135.72811826730828,1.189,t01,42,QM7
qm8dft,regression,mae,tanimoto,FP4,12,17428,2179,2179,0,64,0.02500325020563349,0.027001023017873896,4.858,t01,42,QM8
qm9dft,regression,mae,tanimoto,FP4,3,107108,13388,13389,0,64,0.016752848939580945,0.019341858707301447,26.865,t01,42,QM9
bbbp,classification,auc,tanimoto,FP4,1,1631,204,204,0,96,0.9392611769391616,0.6703800154320988,1.016,t02,42,BBBP
bace,classification,auc,tanimoto,FP4,1,1210,151,152,0,96,0.697069597069597,0.810641627543036,0.937,t02,42,BACE
clintox,classification,auc,tanimoto,FP4,2,1182,148,148,0,96,0.9383769985882662,0.8096496715670942,0.911,t02,42,ClinTox
tox21,classification,auc,tanimoto,FP4,12,6264,783,784,0,96,0.7103626129009215,0.6856727208463362,4.124,t02,42,Tox21
toxcast,classification,auc,tanimoto,FP4,617,6860,858,858,0,96,0.6867069187429008,0.5730310202737741,47.749,t02,42,ToxCast
sider,classification,auc,tanimoto,FP4,27,1141,143,143,0,96,0.6381062971581506,0.6023035569848803,12.28,t02,42,SIDER
hiv,classification,auc,tanimoto,FP4,1,32901,4113,4113,0,96,0.7060445448755633,0.694650340871782,411.119,t02,42,HIV
muv,classification,auc,tanimoto,FP4,17,74469,9309,9309,0,96,0.7777139090541914,0.6649221116596017,572.298,t02,42,MUV
esol,regression,rmse,tanimoto,FP4,1,902,113,113,0,96,1.7388429459605133,1.843570626547701,0.349,t02,42,ESOL
