model,setting,benchmark,roc_auc,sd
Uni-Mol replicate,Unfrozen,BBBP,0.705,0.026
Uni-Mol replicate,Unfrozen,BACE,0.832,0.025
Uni-Mol replicate,Unfrozen,ClinTox,0.857,0.022
Uni-Mol replicate,Unfrozen,Tox21,0.788,0.003
Uni-Mol replicate,Unfrozen,ToxCast,0.685,0.007
Uni-Mol replicate,Unfrozen,SIDER,0.644,0.014
Uni-Mol replicate,Unfrozen,HIV,0.784,0.008
Uni-Mol replicate,Unfrozen,MUV,0.784,0.009
ConforFormer--OMol,Unfrozen,BBBP,0.691,0.021
ConforFormer--OMol,Unfrozen,BACE,0.820,0.029
ConforFormer--OMol,Unfrozen,ClinTox,0.686,0.026
ConforFormer--OMol,Unfrozen,Tox21,0.787,0.004
ConforFormer--OMol,Unfrozen,ToxCast,0.689,0.007
ConforFormer--OMol,Unfrozen,SIDER,0.634,0.013
ConforFormer--OMol,Unfrozen,HIV,0.786,0.004
ConforFormer--OMol,Unfrozen,MUV,0.758,0.030
"Uni-Mol, no pretrain",Unfrozen,BBBP,0.655,0.011
"Uni-Mol, no pretrain",Unfrozen,BACE,0.775,0.039
"Uni-Mol, no pretrain",Unfrozen,ClinTox,0.639,0.046
"Uni-Mol, no pretrain",Unfrozen,Tox21,0.735,0.015
"Uni-Mol, no pretrain",Unfrozen,ToxCast,0.635,0.012
"Uni-Mol, no pretrain",Unfrozen,SIDER,0.607,0.018
"Uni-Mol, no pretrain",Unfrozen,HIV,0.739,0.018
"Uni-Mol, no pretrain",Unfrozen,MUV,0.616,0.011
Uni-Mol replicate,Frozen,BBBP,0.640,0.004
Uni-Mol replicate,Frozen,BACE,0.775,0.002
Uni-Mol replicate,Frozen,ClinTox,0.767,0.010
Uni-Mol replicate,Frozen,Tox21,0.709,0.004
Uni-Mol replicate,Frozen,ToxCast,0.653,0.002
Uni-Mol replicate,Frozen,SIDER,0.606,0.013
Uni-Mol replicate,Frozen,HIV,0.734,0.003
Uni-Mol replicate,Frozen,MUV,0.755,0.010
"Uni-Mol, OMol data",Frozen,BBBP,0.664,0.004
"Uni-Mol, OMol data",Frozen,BACE,0.783,0.004
"Uni-Mol, OMol data",Frozen,ClinTox,0.698,0.011
"Uni-Mol, OMol data",Frozen,Tox21,0.710,0.001
"Uni-Mol, OMol data",Frozen,ToxCast,0.629,0.001
"Uni-Mol, OMol data",Frozen,SIDER,0.610,0.006
"Uni-Mol, OMol data",Frozen,HIV,0.756,0.005
"Uni-Mol, OMol data",Frozen,MUV,0.695,0.007
ConforFormer--UniMol,Frozen,BBBP,0.665,0.007
ConforFormer--UniMol,Frozen,BACE,0.731,0.055
ConforFormer--UniMol,Frozen,ClinTox,0.533,0.014
ConforFormer--UniMol,Frozen,Tox21,0.753,0.001
ConforFormer--UniMol,Frozen,ToxCast,0.644,0.003
ConforFormer--UniMol,Frozen,SIDER,0.649,0.002
ConforFormer--UniMol,Frozen,HIV,0.711,0.004
ConforFormer--UniMol,Frozen,MUV,0.716,0.005
ConforFormer--OMol,Frozen,BBBP,0.673,0.006
ConforFormer--OMol,Frozen,BACE,0.751,0.013
ConforFormer--OMol,Frozen,ClinTox,0.716,0.009
ConforFormer--OMol,Frozen,Tox21,0.755,0.001
ConforFormer--OMol,Frozen,ToxCast,0.638,0.003
ConforFormer--OMol,Frozen,SIDER,0.640,0.006
ConforFormer--OMol,Frozen,HIV,0.751,0.004
ConforFormer--OMol,Frozen,MUV,0.774,0.006
XGBoost ECFP4 (1024-bit) baseline,Tuned x03 (5 seeds),BBBP,0.682,0.008
XGBoost ECFP4 (1024-bit) baseline,Tuned x03 (5 seeds),BACE,0.805,0.035
XGBoost ECFP4 (1024-bit) baseline,Tuned x03 (5 seeds),ClinTox,0.839,0.021
XGBoost ECFP4 (1024-bit) baseline,Tuned x03 (5 seeds),Tox21,0.724,0.004
XGBoost ECFP4 (1024-bit) baseline,Tuned x03 (5 seeds),ToxCast,0.589,0.002
XGBoost ECFP4 (1024-bit) baseline,Tuned x03 (5 seeds),SIDER,0.618,0.011
XGBoost ECFP4 (1024-bit) baseline,Tuned x03 (5 seeds),HIV,0.762,0.014
XGBoost ECFP4 (1024-bit) baseline,Tuned x03 (5 seeds),MUV,0.774,0.026
